# page-membership (element_of) round (gen_page_pairs.py; source=MediaWiki API via fetch_category_pages.py; Haiku-graded CENTRALITY). a=category b=page; relation=element_of, a_type=category b_type=page. neg=off-domain non-membership. cols: a	b	stratum	wl	mu	relation	a_type	b_type
Galaxies	KAOS_(software_development)	neg	-1	0.0	element_of	category	page
Ergodic_theory	Sinai–Ruelle–Bowen_measure	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Bifurcation_theory	Hilbert–Arnold_problem	pos_pageof_bifurcation_	-1	0.8	element_of	category	page
Nonlinear_systems	Control_of_chaos	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
1978_albums	Duhem–Quine_thesis	neg	-1	0.0	element_of	category	page
Emergence	Decentralised_system	pos_pageof_emergence	-1	0.6	element_of	category	page
Holism	Synergy	pos_pageof_holism	-1	0.6	element_of	category	page
Comedians	S._G._Dani	neg	-1	0.0	element_of	category	page
Tornado	Function_model	neg	-1	0.0	element_of	category	page
Tornado	Abelian_sandpile_model	neg	-1	0.0	element_of	category	page
Cooking	Structured_data_analysis_(systems_analysis)	neg	-1	0.0	element_of	category	page
Medieval_knights	Transpartisan	neg	-1	0.0	element_of	category	page
Systems_analysis	Structured_analysis_and_design_technique	pos_pageof_systems_anal	-1	0.8	element_of	category	page
1978_albums	Nilsequence	neg	-1	0.0	element_of	category	page
Feudalism	Emergenesis	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Autowave	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Comedians	Lattice_(discrete_subgroup)	neg	-1	0.0	element_of	category	page
Comedians	Arithmetic_combinatorics	neg	-1	0.0	element_of	category	page
Ergodic_theory	Ornstein_isomorphism_theorem	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Galaxies	Equation-free_modeling	neg	-1	0.0	element_of	category	page
Holism	Duhem–Quine_thesis	pos_pageof_holism	-1	0.8	element_of	category	page
Ergodic_theory	Ellis–Numakura_lemma	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Emergence	Superorganism	pos_pageof_emergence	-1	0.6	element_of	category	page
Holism	Layered_system	pos_pageof_holism	-1	0.6	element_of	category	page
1978_albums	Orthopathy	neg	-1	0.0	element_of	category	page
Medieval_knights	Control_of_chaos	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Sinai–Ruelle–Bowen_measure	neg	-1	0.0	element_of	category	page
Holism	Noosphere	pos_pageof_holism	-1	0.0	element_of	category	page
Emergence	Entropic_gravity	pos_pageof_emergence	-1	0.4	element_of	category	page
Systems_analysis	Systems_modeling	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Comedians	Structured_what-if_technique	neg	-1	0.0	element_of	category	page
Galaxies	The_Evolution_of_Cooperation	neg	-1	0.0	element_of	category	page
Feudalism	Organicism	neg	-1	0.0	element_of	category	page
Ergodic_theory	Piecewise_syndetic_set	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Chess_openings	Ergodic_Ramsey_theory	neg	-1	0.0	element_of	category	page
Ergodic_theory	Ergodic_process	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Medieval_knights	Axiom_A	neg	-1	0.0	element_of	category	page
Television_stations	Confirmation_holism	neg	-1	0.0	element_of	category	page
Tornado	Ergodic_sequence	neg	-1	0.0	element_of	category	page
Ergodic_theory	Rokhlin_lemma	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Galaxies	Holomovement	neg	-1	0.0	element_of	category	page
1978_albums	Credibility_thesis	neg	-1	0.0	element_of	category	page
Comedians	Darwin_among_the_Machines	neg	-1	0.0	element_of	category	page
Emergence	Dense_heterarchy	pos_pageof_emergence	-1	0.6	element_of	category	page
Tornado	Rokhlin_lemma	neg	-1	0.0	element_of	category	page
Comedians	Integral_theory	neg	-1	0.0	element_of	category	page
Feudalism	Nonlinear_acoustics	neg	-1	0.0	element_of	category	page
Television_stations	Fundamental_domain	neg	-1	0.0	element_of	category	page
Chess_openings	System_context_diagram	neg	-1	0.0	element_of	category	page
1978_albums	Ergodic_Ramsey_theory	neg	-1	0.0	element_of	category	page
Television_stations	CFA_Loop	neg	-1	0.0	element_of	category	page
1978_albums	Function_model	neg	-1	0.0	element_of	category	page
Medieval_knights	Transcritical_bifurcation	neg	-1	0.0	element_of	category	page
Systems_analysis	Shlaer–Mellor_method	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Ergodic_theory	Axiom_A	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Tornado	Equation-free_modeling	neg	-1	0.0	element_of	category	page
Tornado	Emergent_organization	neg	-1	0.0	element_of	category	page
Comedians	Biological_applications_of_bifurcation_theory	neg	-1	0.0	element_of	category	page
Nonlinear_systems	STAR_model	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
1978_albums	Traian_Brăileanu	neg	-1	0.0	element_of	category	page
Feudalism	Orthopathy	neg	-1	0.0	element_of	category	page
Tornado	Process_philosophy	neg	-1	0.0	element_of	category	page
Emergence	Emergent_algorithm	pos_pageof_emergence	-1	0.8	element_of	category	page
Tornado	Institute_for_Complex_Adaptive_Matter	neg	-1	0.0	element_of	category	page
Systems_analysis	Structured_what-if_technique	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Feudalism	Dispersive_partial_differential_equation	neg	-1	0.0	element_of	category	page
Medieval_knights	Synergetics_(Haken)	neg	-1	0.0	element_of	category	page
Holism	Organicism	pos_pageof_holism	-1	0.6	element_of	category	page
Holism	Belgitude	pos_pageof_holism	-1	0.0	element_of	category	page
Holism	Implicate_and_explicate_order	pos_pageof_holism	-1	0.4	element_of	category	page
Systems_analysis	Systems_analysis	pos_pageof_systems_anal	-1	1.0	element_of	category	page
Cooking	System_integration	neg	-1	0.0	element_of	category	page
Tornado	Holism	neg	-1	0.0	element_of	category	page
Tornado	Bifurcation_memory	neg	-1	0.0	element_of	category	page
Ergodic_theory	Markov_operator	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Emergence	Darwin_machine	pos_pageof_emergence	-1	0.8	element_of	category	page
Medieval_knights	Hopf_bifurcation	neg	-1	0.0	element_of	category	page
Systems_analysis	Control-flow_diagram	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Ergodic_theory	Ergodic_sequence	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Television_stations	Kuramoto–Sivashinsky_equation	neg	-1	0.0	element_of	category	page
Emergence	Multi-level_governance	pos_pageof_emergence	-1	0.4	element_of	category	page
Comedians	Period-doubling_bifurcation	neg	-1	0.0	element_of	category	page
Galaxies	Thick_set	neg	-1	0.0	element_of	category	page
Galaxies	Dispersive_partial_differential_equation	neg	-1	0.0	element_of	category	page
Television_stations	Systems_theory	neg	-1	0.0	element_of	category	page
Galaxies	Logical_holism	neg	-1	0.0	element_of	category	page
Bifurcation_theory	Period-doubling_bifurcation	pos_pageof_bifurcation_	-1	0.8	element_of	category	page
Emergence	Emergenesis	pos_pageof_emergence	-1	0.8	element_of	category	page
Chess_openings	Stakeholder_analysis	neg	-1	0.0	element_of	category	page
Medieval_knights	Three-wave_equation	neg	-1	0.0	element_of	category	page
Medieval_knights	Systems_theory	neg	-1	0.0	element_of	category	page
Ergodic_theory	Maximal_ergodic_theorem	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Nonlinear_systems	Thomas'_cyclically_symmetric_attractor	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Cooking	IDEF0	neg	-1	0.0	element_of	category	page
Cooking	Spatial_bifurcation	neg	-1	0.0	element_of	category	page
Bifurcation_theory	Homoclinic_bifurcation	pos_pageof_bifurcation_	-1	0.8	element_of	category	page
Galaxies	Kolmogorov_automorphism	neg	-1	0.0	element_of	category	page
Emergence	The_Ghost_in_the_Machine	pos_pageof_emergence	-1	0.0	element_of	category	page
Cooking	KAOS_(software_development)	neg	-1	0.0	element_of	category	page
Emergence	Reductionism	pos_pageof_emergence	-1	0.4	element_of	category	page
Comedians	Lusser's_law	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Analysis	neg	-1	0.0	element_of	category	page
Tornado	Thomas_Avinger	neg	-1	0.0	element_of	category	page
Bifurcation_theory	Heteroclinic_bifurcation	pos_pageof_bifurcation_	-1	0.8	element_of	category	page
Tornado	Duhem–Quine_thesis	neg	-1	0.0	element_of	category	page
Systems_analysis	Policy_analysis	pos_pageof_systems_anal	-1	0.6	element_of	category	page
Television_stations	Synergetics_(Haken)	neg	-1	0.0	element_of	category	page
1978_albums	Organicism	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Wave_turbulence	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Public_toilets_automation	Markov_operator	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Lattice_(discrete_subgroup)	neg	-1	0.0	element_of	category	page
Emergence	Weak_emergence	pos_pageof_emergence	-1	0.8	element_of	category	page
Systems_analysis	N2_chart	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Television_stations	Social_neuroscience	neg	-1	0.0	element_of	category	page
1978_albums	Bailout_embedding	neg	-1	0.0	element_of	category	page
Cooking	Special_sciences	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Trophic_function	pos_pageof_nonlinear_sy	-1	0.4	element_of	category	page
Holism	The_Evolution_of_Cooperation	pos_pageof_holism	-1	0.2	element_of	category	page
Tornado	Strategy_dynamics	neg	-1	0.0	element_of	category	page
Feudalism	Holism	neg	-1	0.0	element_of	category	page
Emergence	Emergentism	pos_pageof_emergence	-1	0.8	element_of	category	page
Television_stations	System_context_diagram	neg	-1	0.0	element_of	category	page
Feudalism	STAR_model	neg	-1	0.0	element_of	category	page
Television_stations	Mixing_(mathematics)	neg	-1	0.0	element_of	category	page
Ergodic_theory	Markov_odometer	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Comedians	Parametric_array	neg	-1	0.0	element_of	category	page
Systems_analysis	Function_model	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Public_toilets_automation	Hidden_attractor	neg	-1	0.0	element_of	category	page
Television_stations	Multi-level_governance	neg	-1	0.0	element_of	category	page
Television_stations	List_of_nonlinear_ordinary_differential_equations	neg	-1	0.0	element_of	category	page
1978_albums	Hopf_bifurcation	neg	-1	0.0	element_of	category	page
Cooking	Stationary_ergodic_process	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Bifurcation_memory	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Cooking	Work_systems	neg	-1	0.0	element_of	category	page
Galaxies	Thomas_Avinger	neg	-1	0.0	element_of	category	page
1978_albums	Social_epidemiology	neg	-1	0.0	element_of	category	page
Feudalism	The_Ghost_in_the_Machine	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Bifurcation_theory	neg	-1	0.0	element_of	category	page
Emergence	Analysis	pos_pageof_emergence	-1	0.2	element_of	category	page
Emergence	Models_of_collaborative_tagging	pos_pageof_emergence	-1	0.4	element_of	category	page
Medieval_knights	Global_brain	neg	-1	0.0	element_of	category	page
Cooking	IDEF1X	neg	-1	0.0	element_of	category	page
Systems_analysis	Stakeholder_analysis	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Comedians	Wholistic_reference	neg	-1	0.0	element_of	category	page
1978_albums	Wandering_set	neg	-1	0.0	element_of	category	page
Galaxies	Integrative_level	neg	-1	0.0	element_of	category	page
Galaxies	Linear_flow_on_the_torus	neg	-1	0.0	element_of	category	page
Tornado	Holomovement	neg	-1	0.0	element_of	category	page
Systems_analysis	Manumation	pos_pageof_systems_anal	-1	0.2	element_of	category	page
Nonlinear_systems	Excitable_medium	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Comedians	KAOS_(software_development)	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Plithotaxis	neg	-1	0.0	element_of	category	page
Chess_openings	Duality_(CoPs)	neg	-1	0.0	element_of	category	page
Cooking	Functional_flow_block_diagram	neg	-1	0.0	element_of	category	page
Holism	Superorganism	pos_pageof_holism	-1	0.6	element_of	category	page
Public_toilets_automation	DSRP	neg	-1	0.0	element_of	category	page
Systems_analysis	System_requirements_specification	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Systems_analysis	DSRP	pos_pageof_systems_anal	-1	0.6	element_of	category	page
Chess_openings	Theta_model	neg	-1	0.0	element_of	category	page
Cooking	Crisis_(dynamical_systems)	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Bernoulli_scheme	neg	-1	0.0	element_of	category	page
Galaxies	Consciousness	neg	-1	0.0	element_of	category	page
Feudalism	Fermi–Pasta–Ulam–Tsingou_problem	neg	-1	0.0	element_of	category	page
Chess_openings	Convergent_cross_mapping	neg	-1	0.0	element_of	category	page
Tornado	Consciousness	neg	-1	0.0	element_of	category	page
Chess_openings	Duhem–Quine_thesis	neg	-1	0.0	element_of	category	page
Holism	Modular_design	pos_pageof_holism	-1	0.6	element_of	category	page
Comedians	Self-oscillation	neg	-1	0.0	element_of	category	page
Holism	Orthopathy	pos_pageof_holism	-1	0.0	element_of	category	page
Chess_openings	Artin_billiard	neg	-1	0.0	element_of	category	page
Tornado	S._G._Dani	neg	-1	0.0	element_of	category	page
Cooking	Manumation	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Volume_entropy	neg	-1	0.0	element_of	category	page
Galaxies	SETAR_(model)	neg	-1	0.0	element_of	category	page
Television_stations	Ergodic_process	neg	-1	0.0	element_of	category	page
Television_stations	Absorbing_barrier_(finance)	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Biocomplexity	neg	-1	0.0	element_of	category	page
Systems_analysis	Structured_systems_analysis_and_design_method	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Nonlinear_systems	Spiral_wave	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Ergodic_theory	Hopf_decomposition	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Ergodic_theory	Ergodic_Ramsey_theory	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Ergodic_theory	Mixing_(physics)	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
1978_albums	Kuramoto_model	neg	-1	0.0	element_of	category	page
Ergodic_theory	Krylov–Bogolyubov_theorem	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Galaxies	Bifurcation_theory	neg	-1	0.0	element_of	category	page
Ergodic_theory	Fundamental_domain	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Emergence	Statistical_finance	pos_pageof_emergence	-1	0.4	element_of	category	page
Television_stations	Prancercise	neg	-1	0.0	element_of	category	page
Chess_openings	Control_of_chaos	neg	-1	0.0	element_of	category	page
Systems_analysis	Power_integrity	pos_pageof_systems_anal	-1	0.2	element_of	category	page
Medieval_knights	Theory_of_everything_(philosophy)	neg	-1	0.0	element_of	category	page
Comedians	Function_(computer_programming)	neg	-1	0.0	element_of	category	page
1978_albums	Heteroclinic_bifurcation	neg	-1	0.0	element_of	category	page
Systems_analysis	Lusser's_law	pos_pageof_systems_anal	-1	0.6	element_of	category	page
Nonlinear_systems	Hodgkin–Huxley_model	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Tornado	Wave_turbulence	neg	-1	0.0	element_of	category	page
Ergodic_theory	Kingman's_subadditive_ergodic_theorem	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Comedians	Topological_entropy	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Synergistic_system	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Tornado	OODA_loop	neg	-1	0.0	element_of	category	page
Ergodic_theory	Stationary_ergodic_process	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Cooking	Ergodicity_economics	neg	-1	0.0	element_of	category	page
Ergodic_theory	Topological_entropy	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Ergodic_theory	Kolmogorov_automorphism	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Feudalism	Biological_organisation	neg	-1	0.0	element_of	category	page
Feudalism	Ultra-large-scale_systems	neg	-1	0.0	element_of	category	page
Feudalism	Axiom_A	neg	-1	0.0	element_of	category	page
Ergodic_theory	Artin_billiard	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Cooking	Systems_theory	neg	-1	0.0	element_of	category	page
Emergence	4E_cognition	pos_pageof_emergence	-1	0.6	element_of	category	page
Feudalism	Business_analyst	neg	-1	0.0	element_of	category	page
Emergence	Emergent_evolution	pos_pageof_emergence	-1	0.8	element_of	category	page
Public_toilets_automation	Mixing_(mathematics)	neg	-1	0.0	element_of	category	page
Holism	Theory_of_Colours	pos_pageof_holism	-1	0.0	element_of	category	page
Systems_analysis	CFA_Loop	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Ergodic_theory	Volume_entropy	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Nonlinear_systems	Coupled_map_lattice	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Emergence	Holism	pos_pageof_emergence	-1	0.8	element_of	category	page
1978_albums	Artin_billiard	neg	-1	0.0	element_of	category	page
Television_stations	4E_cognition	neg	-1	0.0	element_of	category	page
Cooking	Compartmental_neuron_models	neg	-1	0.0	element_of	category	page
Holism	Indeterminacy_(philosophy)	pos_pageof_holism	-1	0.4	element_of	category	page
Chess_openings	Integral_theory	neg	-1	0.0	element_of	category	page
Galaxies	Hindmarsh–Rose_model	neg	-1	0.0	element_of	category	page
Galaxies	Spiral_wave	neg	-1	0.0	element_of	category	page
Ergodic_theory	Ergodic_theory	pos_pageof_ergodic_theo	-1	1.0	element_of	category	page
Galaxies	Exchange_to_exchange	neg	-1	0.0	element_of	category	page
Galaxies	Bogdanov–Takens_bifurcation	neg	-1	0.0	element_of	category	page
Emergence	Induced_gravity	pos_pageof_emergence	-1	0.4	element_of	category	page
Nonlinear_systems	Nonlinear_system_identification	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Cooking	Holon_(philosophy)	neg	-1	0.0	element_of	category	page
Television_stations	IDEF1X	neg	-1	0.0	element_of	category	page
1978_albums	Social_cognitive_neuroscience	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Hidden_attractor	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Medieval_knights	Duality_(CoPs)	neg	-1	0.0	element_of	category	page
Ergodic_theory	Mixing_(mathematics)	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Emergence	Health_web_science	pos_pageof_emergence	-1	0.4	element_of	category	page
Systems_analysis	System_integration	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Tornado	Three-wave_equation	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Dense_heterarchy	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Fermi–Pasta–Ulam–Tsingou_problem	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Feudalism	Hilbert–Arnold_problem	neg	-1	0.0	element_of	category	page
Feudalism	No-wandering-domain_theorem	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Dispersive_partial_differential_equation	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Comedians	Sphoṭa	neg	-1	0.0	element_of	category	page
Feudalism	Darwin_machine	neg	-1	0.0	element_of	category	page
Cooking	Traveling-wave_parametric_amplifier	neg	-1	0.0	element_of	category	page
Emergence	Biocomplexity	pos_pageof_emergence	-1	0.8	element_of	category	page
Cooking	Two_Dogmas_of_Empiricism	neg	-1	0.0	element_of	category	page
Ergodic_theory	Bernoulli_scheme	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Nonlinear_systems	Kuramoto_model	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Holism	Semantic_holism	pos_pageof_holism	-1	0.8	element_of	category	page
Public_toilets_automation	Failure_mode_and_effects_analysis	neg	-1	0.0	element_of	category	page
Holism	Traian_Brăileanu	pos_pageof_holism	-1	0.0	element_of	category	page
Chess_openings	Management_cybernetics	neg	-1	0.0	element_of	category	page
Tornado	Transdisciplinarity	neg	-1	0.0	element_of	category	page
Galaxies	Theory_of_Colours	neg	-1	0.0	element_of	category	page
Emergence	Connectionism	pos_pageof_emergence	-1	0.6	element_of	category	page
Television_stations	Sinai–Ruelle–Bowen_measure	neg	-1	0.0	element_of	category	page
Ergodic_theory	S._G._Dani	pos_pageof_ergodic_theo	-1	0.2	element_of	category	page
Nonlinear_systems	Period-doubling_bifurcation	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Tornado	IDEF0	neg	-1	0.0	element_of	category	page
Medieval_knights	OpenCog	neg	-1	0.0	element_of	category	page
Ergodic_theory	Nilsequence	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Public_toilets_automation	Artin_billiard	neg	-1	0.0	element_of	category	page
Emergence	Symmetry-protected_topological_order	pos_pageof_emergence	-1	0.6	element_of	category	page
Nonlinear_systems	Bailout_embedding	pos_pageof_nonlinear_sy	-1	0.6	element_of	category	page
Comedians	STAR_model	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Lorenz_system	pos_pageof_nonlinear_sy	-1	1.0	element_of	category	page
Cooking	First_Conference_on_Scientific_Organization_of_Labour	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Variable_structure_system	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Ergodic_theory	Invariant_sigma-algebra	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Chess_openings	Structured_systems_analysis_and_design_method	neg	-1	0.0	element_of	category	page
Medieval_knights	Catastrophe_theory	neg	-1	0.0	element_of	category	page
Systems_analysis	KAOS_(software_development)	pos_pageof_systems_anal	-1	0.8	element_of	category	page
1978_albums	Hyperchaos	neg	-1	0.0	element_of	category	page
Tornado	Integrative_level	neg	-1	0.0	element_of	category	page
Comedians	DUAL_(cognitive_architecture)	neg	-1	0.0	element_of	category	page
Systems_analysis	Spillover_(experiment)	pos_pageof_systems_anal	-1	0.4	element_of	category	page
Systems_analysis	Structured_data_analysis_(systems_analysis)	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Feudalism	Bernoulli_scheme	neg	-1	0.0	element_of	category	page
Medieval_knights	Failure_mode_and_effects_analysis	neg	-1	0.0	element_of	category	page
Tornado	Biocomplexity	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Neural_accommodation	pos_pageof_nonlinear_sy	-1	0.6	element_of	category	page
Ergodic_theory	Unit_tangent_bundle	pos_pageof_ergodic_theo	-1	0.8	element_of	category	page
Medieval_knights	Shlaer–Mellor_method	neg	-1	0.0	element_of	category	page
Holism	Antireductionism	pos_pageof_holism	-1	0.8	element_of	category	page
Feudalism	Hysteresis	neg	-1	0.0	element_of	category	page
Chess_openings	Oseledets_theorem	neg	-1	0.0	element_of	category	page
Emergence	Steady_change	pos_pageof_emergence	-1	0.4	element_of	category	page
1978_albums	Theory_of_everything_(philosophy)	neg	-1	0.0	element_of	category	page
Galaxies	Structured_programming	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Ergodic_theory	neg	-1	0.0	element_of	category	page
Galaxies	Ergodic_theory	neg	-1	0.0	element_of	category	page
Systems_analysis	Analytic_hierarchy_process	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Systems_analysis	IDEF0	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Chess_openings	Transcendental_humanism	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Exponential_integrate-and-fire	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Medieval_knights	Swarm_(simulation)	neg	-1	0.0	element_of	category	page
1978_albums	Logical_holism	neg	-1	0.0	element_of	category	page
Galaxies	Compartmental_neuron_models	neg	-1	0.0	element_of	category	page
Bifurcation_theory	Bifurcation_diagram	pos_pageof_bifurcation_	-1	0.8	element_of	category	page
Feudalism	Ergodicity_economics	neg	-1	0.0	element_of	category	page
Emergence	Emergent_organization	pos_pageof_emergence	-1	0.8	element_of	category	page
Holism	Holism	pos_pageof_holism	-1	1.0	element_of	category	page
Medieval_knights	Modular_design	neg	-1	0.0	element_of	category	page
Emergence	Social_neuroscience	pos_pageof_emergence	-1	0.4	element_of	category	page
Comedians	Social_complexity	neg	-1	0.0	element_of	category	page
Tornado	Superstatistics	neg	-1	0.0	element_of	category	page
Comedians	Krylov–Bogolyubov_theorem	neg	-1	0.0	element_of	category	page
Galaxies	Exponential_integrate-and-fire	neg	-1	0.0	element_of	category	page
Nonlinear_systems	SETAR_(model)	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
Emergence	Multilineal_evolution	pos_pageof_emergence	-1	0.2	element_of	category	page
Comedians	Hidden_attractor	neg	-1	0.0	element_of	category	page
Feudalism	Artin_billiard	neg	-1	0.0	element_of	category	page
Systems_analysis	Structure_chart	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Cooking	Statistical_finance	neg	-1	0.0	element_of	category	page
Emergence	Interactional_linguistics	pos_pageof_emergence	-1	0.2	element_of	category	page
Holism	Tektology	pos_pageof_holism	-1	0.8	element_of	category	page
Tornado	Thomas'_cyclically_symmetric_attractor	neg	-1	0.0	element_of	category	page
Chess_openings	IP_set	neg	-1	0.0	element_of	category	page
