pair_id	source_index	subset_index	hop	descendant_title_audit_action	ancestor_title_audit_action	raw_D	audited_D	delta_D	raw_S	audited_S	delta_S	raw_D_relation	audited_D_relation	raw_S_relation	audited_S_relation	response_changed	raw_response_sha256	audited_response_sha256
pearltrees-h2-0003	53	10	2	corrected	raw	0.9	0.85	-0.05	0.25	0.25	0	subtopic	subtopic	assoc	assoc	true	540041605f7af3a0f1aaa8c876738c80bf3b545aacfb5252cf379f0a9e01e071	b3becdf2d85df5774667393aa892d1163001e1718eefe6a4fa9df95ad40e4432
pearltrees-h2-0006	56	11	2	raw	corrected	0.45	0.45	0	0.55	0.55	0	subtopic	subtopic	assoc	assoc	true	50e2d9c2515a6af59c6f1b7ad3a57e6791cda621005019e93a4bcd358ebcd6ba	662d8c1d670f01745db037bf272df40aec81b3584f34be548177113258952759
pearltrees-h2-0008	58	12	2	corrected	raw	0.85	0.8	-0.05	0.45	0.35	-0.1	super_category	super_category	assoc	see_also	true	94520dfcf4a7a2ef4e2b64d5ff8f7efa2d81a13bfd83238557406d2c8be7291f	d7a87442dee7c9a20d7bf44e97e248ba0754073d9069e75c600b9b125a624b09
pearltrees-h2-0012	62	13	2	corrected	corrected	0.15	0.18	0.03	0.25	0.35	0.1	subtopic	subtopic	assoc	assoc	true	c049b0a310bc4607d7447732fdb50ba960da05f34e35739d8847745e853ac3af	966f014e42f533b4cff50e4f31b1d4e765ee19141eea17504301191a0df833da
pearltrees-h2-0013	63	14	2	raw	corrected	0.65	0.45	-0.2	0.65	0.55	-0.1	super_category	subtopic	assoc	assoc	true	7b16c5ead482af0ae5858d043007b5982f4cc93995f6ba1b7cb82224eaaee25c	dc2058914bf9623f1146a652bec77f18b5d8f877ec96d1a1d7a72874d39920fd
pearltrees-h2-0018	68	15	2	corrected	raw	0.55	0.7	0.15	0.5	0.35	-0.15	subtopic	subtopic	assoc	assoc	true	7a2ac367e8581362f9bc89ae8158c382c4c1924a1dd8a1d2a59dd342d18c1662	036b0a9f697f6b27553a0589f1f3354750522bafbf09022d3bece6a2f77336da
pearltrees-h2-0027	77	16	2	corrected	raw	0.18	0.15	-0.03	0.38	0.35	-0.03	subtopic	subtopic	assoc	assoc	true	c475b0d67c29bc8860f693e29bde439c933a4b40f0f69cafe76de6108d9f3b55	0e0f404420b344983cd7fe21a5a48ce24f0b6c03e35e06aa23197624a6acc0d8
pearltrees-h2-0030	80	17	2	corrected	raw	0.35	0.45	0.1	0.25	0.35	0.1	subtopic	subtopic	assoc	assoc	true	656368c40739f4bc53f3a6a4886bf012623bb1938adf40eab829d9ef71067d83	524ffb0c2ba389bc0fcf9d3aa4c30cbbb601fff350d7ab519f506a5bc314b908
pearltrees-h2-0040	90	18	2	corrected	raw	0.25	0.25	0	0.45	0.45	0	subtopic	subtopic	assoc	assoc	true	600fbfddf1c6871ad999e076f3536722dcbd4f6d6929149c65ec02d74d77c84f	66819e06957a6312b6177cfe684f76eab222754bb3dc0d7c930148242955b007
pearltrees-h2-0043	93	19	2	corrected	raw	0.65	0.75	0.1	0.55	0.45	-0.1	subtopic	super_category	assoc	assoc	true	8fcc55c825b00e10eb0e88af92004e3c115775cbf541ccd6dd5f20db29aa1f07	f95c02ac8eaf752c51aff90e6f4af647b42c4cdc4ea40fc389db611def69edb2
pearltrees-h2-0046	96	20	2	raw	corrected	0.25	0.35	0.1	0.45	0.55	0.1	subtopic	subtopic	assoc	assoc	true	4034fad17f4a427d3be3aa3f767f70e718f7e2a3cb15ead8b76470f16b048ca5	29c386c28657d0bb689559889e8129c66b3a5d86733f75e6bc56a953d215dd4b
pearltrees-h2-0048	98	21	2	raw	corrected	0.6	0.55	-0.05	0.55	0.5	-0.05	subtopic	subtopic	assoc	see_also	true	4af21ce28f97f896e883a5b166fa32beafb3ebcf5b48333a4a888106d763fc84	a4dea6958f689ae08b5c96ad3e1c7eda35fd2c8899b598f6db51f5919bb4c883
pearltrees-h3-0001	101	22	3	corrected	raw	0.75	0.45	-0.3	0.45	0.45	0	subtopic	subtopic	assoc	assoc	true	67c523b44577675e4a2f8a826aefb8b7385d4870b846ebc7ed7c9bc6d12ffb46	70bff00c462c31e1ead2f8380b2e2ff8ccd7c940df6a855ca4ac8310d52adc57
pearltrees-h3-0011	111	23	3	corrected	raw	0.03	0.05	0.02	0.08	0.2	0.12	subtopic	subtopic	assoc	assoc	true	0c31849c1a241b14816c525f0f22e9998cde5034d74f704bc00c9c82013ce780	d57147c19d5f1689915b4b91d1fbcf5acfb9d24207854d9d7b5cdf0e3ca30a3e
pearltrees-h3-0019	119	24	3	corrected	raw	0.8	0.7	-0.1	0.5	0.35	-0.15	subtopic	subtopic	assoc	see_also	true	76225090d5a6e01b7c8d82bbb32652b1ca384338582e997104313bf7f940f74d	1a9deb0e1277e6d500fa6eeb226dce2b690d97af3d305469d3d284c656f6a756
pearltrees-h3-0021	121	25	3	raw	corrected	0.8	0.85	0.05	0.25	0.35	0.1	element_of	element_of	assoc	assoc	true	ff36b50218fcf3aaf4ef26162972c0c578f9c279412badc0745625476124388d	5c8f7250744e9cf19aa6a9c2ff5521465bdbf0f0872586230429cfceb1430ded
pearltrees-h3-0023	123	26	3	corrected	raw	0.35	0.25	-0.1	0.35	0.55	0.2	subtopic	subtopic	assoc	assoc	true	5181d3241aae6e1f0e76374ae888a39f38762d85d07c943b465676856dc4e185	eb4cfe3f951b724e4e173056fac70c0e11dbd310279c87ee95b752170aad592d
pearltrees-h3-0032	132	27	3	corrected	corrected	0.25	0.15	-0.1	0.45	0.35	-0.1	subtopic	subtopic	assoc	assoc	true	b01ab4f6fb8e0c164a41758f5d5928831b1d25e3a71951042066515b3c48382b	027dc11b48b2d96c664a81d3be2266ca5ab25d28afbf664d5d6eb9c8e16bb005
pearltrees-h3-0034	134	28	3	corrected	raw	0.55	0.55	0	0.5	0.45	-0.05	subtopic	element_of	assoc	see_also	true	81d961e6a9fc32c838b0ab33a5b7069d0f999261dbbe41ca7c8927b88b5bdc3c	5f75b21ed9e4a40f924308f7f48633e36e7b7c8aeee0d0c39b6033735cf0f71c
pearltrees-h3-0035	135	29	3	corrected	raw	0.3	0.55	0.25	0.45	0.55	0.1	subtopic	subtopic	assoc	assoc	true	fe4c4908e1861e49ad99ec76d2757c4ea1cf0552b474a99eadba86ab6b2ae6a4	8c0e5220dbe85a49bc7b08912058c26ac436f7d4dd1263447cad4f90f5bd89a7
pearltrees-h3-0048	148	30	3	corrected	corrected	0.9	0.75	-0.15	0.35	0.45	0.1	element_of	element_of	assoc	assoc	true	6d38aff67a01a822a296ae21c122d0ea189c2fbf8e9654db8a708e59d6967900	6a9643e115606f7995f47699ce182a54438bd86d7d622646c6163aef703d149c
pearltrees-h4-0001	151	31	4	corrected	raw	0.35	0.25	-0.1	0.42	0.55	0.13	subtopic	subtopic	assoc	assoc	true	08874fc602e801831a0e4686e6583d00ae2b4980003fa4252403311bf382f6e0	4d3d66a189bedba58487c898098d8f4463beb3dfa3075f63a390f5dab1a7808f
pearltrees-h4-0009	159	32	4	raw	corrected	0.22	0.55	0.33	0.35	0.65	0.3	subtopic	subtopic	assoc	assoc	true	cc5f79ba9d0d8fa690a5638e1eaf2bcd1a71198f80977d36461b270b1d7854a9	9d6d16726914ef6a054ffdff8ea0b238768a66bc3dfc90f1a424c54c4b55fb31
pearltrees-h4-0022	172	33	4	raw	corrected	0.1	0.15	0.05	0.2	0.35	0.15	subtopic	subtopic	assoc	assoc	true	ee2dd8a31085672f9fe77b29aa232641f1226a9cbe53b5bc47adbc78bf56cb01	e214daa9bb3fc9a73858d17fb3e5f5eb7f013df5cb3e98fec9cf520b9d0b091f
pearltrees-h4-0023	173	34	4	corrected	raw	0.75	0.75	0	0.35	0.4	0.05	subtopic	subtopic	assoc	assoc	true	6ae4c96adcec6d3b8e3c6c12e35a66fcb49060913bcdf451c3d48e16370bb867	0815bf79c489e310adb075e6dedeea3119b4c27e475b08ba11cc294293d71897
pearltrees-h4-0025	175	35	4	corrected	raw	0.08	0.08	0	0.18	0.22	0.04	subtopic	subtopic	assoc	assoc	true	8a4276045208cc86a997e41e9ec95db1339cee302149127957eff7644c7ac3e5	001dc7b59f6a5a93ac2f565ea990b5a46c61a4b1c9c9823d8300a7f6e991df10
pearltrees-h4-0042	192	36	4	raw	corrected	0.08	0.12	0.04	0.22	0.45	0.23	subtopic	subtopic	assoc	assoc	true	0b496ef0d77c6af39dffc819d5bfa74a6aeb5593d361e7dc95763916fd59302c	17a2dafa79aea801fb887f54607bf7756d031789351dc14fb1efbf558fc4fa63
pearltrees-h4-0045	195	37	4	raw	corrected	0.12	0.08	-0.04	0.32	0.25	-0.07	subtopic	subtopic	assoc	assoc	true	f4b83891e9752e2c36ac86c04c21322387497c123e4cbe29968af99f287e479a	0d4028a458cb591eb34c23169092f45bb8b2b7e1d1f6bd76dbc5ecdbb6d0b6ed
pearltrees-h4-0048	198	38	4	raw	corrected	0.08	0.05	-0.03	0.24	0.2	-0.04	subtopic	subtopic	assoc	assoc	true	e182cabc7e2f9fb121d1b7e8851b550353f9486440809d371d35157ff6e0c047	280bc022afac1b9ba74c76d06a72d3c873617a287d879ee81e1ad2cd70f95083
pearltrees-h4-0049	199	39	4	corrected	raw	0.28	0.45	0.17	0.32	0.45	0.13	subtopic	subtopic	assoc	assoc	true	bcf75410ce87f04fd2e8a7926942e9b72a0b5d2d1a247ec405099fabd985623d	800754a4b16db789c82e1060ae54b7c50d3572079f58223cec8b586211baf5db
pearltrees-h5-0000	200	40	5	corrected	raw	0.05	0.05	0	0.08	0.08	0	subtopic	subtopic	assoc	assoc	true	25d124466f799e995e9a269787dddbadcd622c1363886750634cf69c09e6b292	fa5e117797061794afaf581247e53aa9796416c9d9cb6be6d39fd8baed78c9e3
pearltrees-h5-0002	202	41	5	corrected	raw	0.35	0.55	0.2	0.35	0.4	0.05	subtopic	subtopic	assoc	assoc	true	933fb9410432c21a986f5b1ac69f7ce6065c0b802574ec154beebd5630a0c235	9f9302057c761702c8d9b8a76a1693ae5cab2ee8619f87fbf018ab81899f2346
pearltrees-h5-0010	210	42	5	raw	corrected	0.55	0.7	0.15	0.35	0.45	0.1	subtopic	element_of	assoc	assoc	true	ff8b9309f1c2ecdd075115b70233a29e100a49acb3a3680c98627dca8e326b5b	a5e8d8a2be90b845ea3d761511e70e2cd579f140103910405d04ce18d7d20618
pearltrees-h5-0011	211	43	5	corrected	raw	0.08	0.03	-0.05	0.18	0.12	-0.06	subtopic	subtopic	assoc	assoc	true	be983f5a6b8b15494ebe6b939aef2219032848c043e7ad303d62cd44c1c20429	ab5458fd2180a5b3d87c5961e983474c76baf7d3f4687f0c056b185e93e54904
pearltrees-h5-0021	221	44	5	corrected	raw	0.65	0.45	-0.2	0.45	0.5	0.05	subtopic	subtopic	assoc	assoc	true	056cec970c15af9d3dc9b867a6d12bf91bcb6b4c00cc3a0a96a807753e2f0255	b4f9087734e46ae681457a5dde056eabb61fd24b275e4acafb5524fb6b85d533
pearltrees-h5-0022	222	45	5	corrected	raw	0.25	0.12	-0.13	0.35	0.2	-0.15	subtopic	subtopic	assoc	assoc	true	1fd0e5778d61ba899fd88ceb1e016893b3a5348705258b1bb2fad6eb59a7980d	1ef8c49a4747e7da34ade16d7991896c7d21122072c5859488fb8f308b4a70a9
pearltrees-h5-0024	224	46	5	corrected	raw	0.08	0.08	0	0.18	0.25	0.07	subtopic	subtopic	assoc	assoc	true	1c364920822988f1e487db19a0bd753e18acda1ad7f232572ceb4d585ab0375b	557ef756dc305f8da470cde079fdcbb1c2044df0b8434a5b5cd16fed8c0f1e6a
pearltrees-h5-0026	226	47	5	corrected	raw	0.12	0.28	0.16	0.28	0.4	0.12	subtopic	subtopic	assoc	assoc	true	b842a36849088959c6971d43cb26ca07825b7283de4ff330b7993378e0c2f6e3	24def297ba2c03743a40226f0ffdd2ee0e079d92f768c18a48a732d5f9faebb5
pearltrees-h5-0028	228	48	5	corrected	raw	0.75	0.75	0	0.35	0.45	0.1	subtopic	subtopic	assoc	assoc	true	854dcca05cabd1da8c9a2fe1a631b9256fef6a09d7281579360249bb9e73a096	0b7f39d37b02018c14c063f651602c1a7b0c1072d63e31879c7d37888c214501
pearltrees-h5-0032	232	49	5	corrected	raw	0.22	0.5	0.28	0.38	0.45	0.07	subtopic	subtopic	assoc	assoc	true	d61b1a773628c6e16e8ca390148c976288f16c8d38624c477459896795090a8a	d9ec7229ba8461cd646e4d7f36a0f99a94e607f91bac6815efd259db69f539e6
pearltrees-h5-0039	239	50	5	corrected	raw	0.2	0.12	-0.08	0.38	0.28	-0.1	subtopic	subtopic	assoc	assoc	true	0494f06ab2edbc2d2ecd77c75084079c0d26ba9b317090ade1269756e302f013	e7e216d9edbc00bd6f714ef60ae9fbbd9ea046f7e240cdb7b5c375fd825e9fad
pearltrees-h5-0043	243	51	5	corrected	raw	0.75	0.78	0.03	0.3	0.22	-0.08	subtopic	subtopic	assoc	assoc	true	bb6f18581b6fe608c1b9b1b9ac79bf46a4a2aaa94c9c144cb3afe2130b540689	af03dbe72f8744b98efd0196631f6db50ee6317ef69bbc487de681ed2b294be3
pearltrees-h5-0048	248	52	5	corrected	raw	0.35	0.45	0.1	0.25	0.15	-0.1	element_of	element_of	assoc	assoc	true	85eefd1802d8ace5bfdb052fc447e5c6c9ca2019982c07d39ecdad5358d5a119	53567207c1e8b729f99dc729a7acbef575f200ba93882612124e602a0fc8ee93
