# node_title	root_title	cur_relation	conf	neighborhood	node_type	root_type	raw
The Crises in Democracy	Animal Farm	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Alcohol	Religion	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
LOGO	Net Neutrality and Society	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Ukraine	History by Region / place	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Constraints (Classical Mechanics)	Signals & communication	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Showtime	Net Neutrality and Society	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Holonomic system	Electricity & Magnetism (Physics)	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Miss Representation	Religion	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Symbols of Satanism (Documentary)	history	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Constraints (Classical Mechanics)	Antenna	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Corporate Fascism	philosophy	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Books by Peter Kropotkin	Intellectuals & Notable Non-Fiction Writers	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Money in Tennessee Politics	Illusions	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Cynicism & History Stereotypes	eyes-symbols-history-s243a	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Cynicism	wikis	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
The Phenomenology of Spirit, Hegel	people	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Part 5 - Drone Nation (counter intelligence)	Social Media	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
The Israel Palestine Conflict	History by Region / place	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Symbols of Satanism (Documentary)	Mythology	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Part 4 - IV - Necrophilous (Counter Intelligence)	Social Media	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Transitions to Totalitarianism	Political Philosophy	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
1984 images	s243a-wikispaces	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
