pair_id	corpus	graph_view	branch_id	branch_title	descendant_id	descendant_title	descendant_normalized_title	ancestor_id	ancestor_title	ancestor_normalized_title	hop	descendant_raw_title	descendant_title_audit_action	descendant_canonical_identity	ancestor_raw_title	ancestor_title_audit_action	ancestor_canonical_identity
enwiki-h1-0019	enwiki	category_dag	8017451	Language	744038	Philosophy_of_language	philosophy of language	8017451	Language	language	1	Philosophy_of_language	raw	philosophy of language	Language	raw	language
enwiki-h1-0020	enwiki	category_dag	691928	Law	61887783	Expansion_of_slavery_in_the_United_States	expansion of slavery in the united states	3376896	History_of_United_States_expansionism	history of united states expansionism	1	Expansion_of_slavery_in_the_United_States	raw	expansion of slavery in the united states	History_of_United_States_expansionism	raw	history of united states expansionism
enwiki-h1-0021	enwiki	category_dag	2389032	Life	56730835	Types_of_trauma	types of trauma	10158091	Injuries	injuries	1	Types_of_trauma	raw	types of trauma	Injuries	raw	injuries
enwiki-h1-0022	enwiki	category_dag	696790	Mass_media	52177459	Marketing_strategy	marketing strategy	784409	Marketing	marketing	1	Marketing_strategy	raw	marketing strategy	Marketing	raw	marketing
enwiki-h1-0023	enwiki	category_dag	690747	Mathematics	25169417	Lists_of_things_named_after_mathematicians	lists of things named after mathematicians	4684939	Mathematics-related_lists	mathematics-related lists	1	Lists_of_things_named_after_mathematicians	raw	lists of things named after mathematicians	Mathematics-related_lists	raw	mathematics-related lists
enwiki-h1-0024	enwiki	category_dag	696603	Nature	28962801	Nanotechnology_and_the_environment	nanotechnology and the environment	15877642	Environmental_issues	environmental issues	1	Nanotechnology_and_the_environment	raw	nanotechnology and the environment	Environmental_issues	raw	environmental issues
enwiki-h1-0025	enwiki	category_dag	691810	Philosophy	32026258	Women_and_philosophy	women and philosophy	691810	Philosophy	philosophy	1	Women_and_philosophy	raw	women and philosophy	Philosophy	raw	philosophy
enwiki-h1-0026	enwiki	category_dag	695027	Politics	6222478	Political_communication	political communication	695027	Politics	politics	1	Political_communication	raw	political communication	Politics	raw	politics
enwiki-h1-0027	enwiki	category_dag	692694	Religion	59768190	Weekly_Torah_readings_in_Tammuz_(Hebrew_month)	weekly torah readings in tammuz (hebrew month)	44724959	Tammuz_(Hebrew_month)	tammuz (hebrew month)	1	Weekly_Torah_readings_in_Tammuz_(Hebrew_month)	raw	weekly torah readings in tammuz (hebrew month)	Tammuz_(Hebrew_month)	raw	tammuz (hebrew month)
enwiki-h1-0028	enwiki	category_dag	691182	Science	24244487	Forensic_occupations	forensic occupations	1003632	Science_occupations	science occupations	1	Forensic_occupations	raw	forensic occupations	Science_occupations	raw	science occupations
enwiki-h1-0029	enwiki	category_dag	1633936	Society	36952510	Sectarianism	sectarianism	19307992	Social_conflict	social conflict	1	Sectarianism	raw	sectarianism	Social_conflict	raw	social conflict
enwiki-h1-0030	enwiki	category_dag	696648	Technology	5209409	Telerehabilitation	telerehabilitation	25737110	Telehealth	telehealth	1	Telerehabilitation	raw	telerehabilitation	Telehealth	raw	telehealth
enwiki-h1-0031	enwiki	category_dag	744728	Time	67825444	22nd-century_lunar_eclipses	22nd-century lunar eclipses	74786281	22nd-century_astronomical_events	22nd-century astronomical events	1	22nd-century_lunar_eclipses	raw	22nd-century lunar eclipses	22nd-century_astronomical_events	raw	22nd-century astronomical events
enwiki-h1-0032	enwiki	category_dag	48005914	Universe	22037957	Physical_objects	physical objects	1926287	Matter	matter	1	Physical_objects	raw	physical objects	Matter	raw	matter
enwiki-h1-0033	enwiki	category_dag	693763	Academic_disciplines	28366894	Specific_University_Curricula	specific university curricula	15457132	Curricula	curricula	1	Specific_University_Curricula	raw	specific university curricula	Curricula	raw	curricula
enwiki-h1-0034	enwiki	category_dag	737037	Behavior	40410448	Object_manipulation	object manipulation	2952834	Sleight_of_hand	sleight of hand	1	Object_manipulation	raw	object manipulation	Sleight_of_hand	raw	sleight of hand
enwiki-h1-0035	enwiki	category_dag	771152	Business	53902901	Agricultural_organisations_based_in_Malaysia	agricultural organisations based in malaysia	49503799	Business_organisations_based_in_Malaysia	business organisations based in malaysia	1	Agricultural_organisations_based_in_Malaysia	raw	agricultural organisations based in malaysia	Business_organisations_based_in_Malaysia	raw	business organisations based in malaysia
enwiki-h1-0036	enwiki	category_dag	709243	Communication	1754736	Cybernetics	cybernetics	54039168	Feedback	feedback	1	Cybernetics	raw	cybernetics	Feedback	raw	feedback
enwiki-h1-0037	enwiki	category_dag	24980271	Concepts	52604981	Alien_language	alien language	62327389	Linguistic_theories_and_hypotheses	linguistic theories and hypotheses	1	Alien_language	raw	alien language	Linguistic_theories_and_hypotheses	raw	linguistic theories and hypotheses
enwiki-h1-0038	enwiki	category_dag	694861	Culture	55631230	Politics_in_culture	politics in culture	55426707	Topics_in_culture	topics in culture	1	Politics_in_culture	raw	politics in culture	Topics_in_culture	raw	topics in culture
enwiki-h1-0039	enwiki	category_dag	47397287	Economy	30948147	Conservative_Party_(UK)-related_lists	conservative party (uk)-related lists	11405707	Conservative_Party_(UK)	conservative party (uk)	1	Conservative_Party_(UK)-related_lists	raw	conservative party (uk)-related lists	Conservative_Party_(UK)	raw	conservative party (uk)
enwiki-h1-0040	enwiki	category_dag	696763	Education	65391518	Outlines_of_education	outlines of education	696763	Education	education	1	Outlines_of_education	raw	outlines of education	Education	raw	education
enwiki-h1-0041	enwiki	category_dag	865456	Energy	11034434	Energy_sources	energy sources	865456	Energy	energy	1	Energy_sources	raw	energy sources	Energy	raw	energy
enwiki-h1-0042	enwiki	category_dag	692903	Engineering	60261297	Presidents_of_the_Women's_Engineering_Society	presidents of the women's engineering society	60235506	Women's_Engineering_Society	women's engineering society	1	Presidents_of_the_Women's_Engineering_Society	raw	presidents of the women's engineering society	Women's_Engineering_Society	raw	women's engineering society
enwiki-h1-0043	enwiki	category_dag	60023454	Entities	20083363	Mathematical_structures	mathematical structures	5183917	Structure	structure	1	Mathematical_structures	raw	mathematical structures	Structure	raw	structure
enwiki-h1-0044	enwiki	category_dag	694860	Food_and_drink	14685785	Sports_drinks	sports drinks	70516127	Sports_nutrition	sports nutrition	1	Sports_drinks	raw	sports drinks	Sports_nutrition	raw	sports nutrition
enwiki-h1-0045	enwiki	category_dag	693800	Geography	40848917	Desertification	desertification	705498	Deserts	deserts	1	Desertification	raw	desertification	Deserts	raw	deserts
enwiki-h1-0046	enwiki	category_dag	697609	Government	15180762	New_College_of_Florida	new college of florida	48057409	Public_honors_colleges	public honors colleges	1	New_College_of_Florida	raw	new college of florida	Public_honors_colleges	raw	public honors colleges
enwiki-h1-0047	enwiki	category_dag	751381	Health	22253589	Diet_food_writers	diet food writers	1329934	Health_and_wellness_writers	health and wellness writers	1	Diet_food_writers	raw	diet food writers	Health_and_wellness_writers	raw	health and wellness writers
enwiki-h1-0048	enwiki	category_dag	693555	History	702708	Historians	historians	693555	History	history	1	Historians	raw	historians	History	raw	history
enwiki-h1-0049	enwiki	category_dag	1004110	Humanities	28771580	Mormon_studies	mormon studies	50033767	Christianity_studies	christianity studies	1	Mormon_studies	raw	mormon studies	Christianity_studies	raw	christianity studies
enwiki-h2-0000	enwiki	category_dag	693763	Academic_disciplines	12730741	Applied_philosophy	applied philosophy	693763	Academic_disciplines	academic disciplines	2	Applied_philosophy	raw	applied philosophy	Academic_disciplines	raw	academic disciplines
enwiki-h2-0001	enwiki	category_dag	737037	Behavior	51151941	Films_about_sexism	films about sexism	63445351	Works_about_sex	works about sex	2	Films_about_sexism	raw	films about sexism	Works_about_sex	raw	works about sex
enwiki-h2-0002	enwiki	category_dag	771152	Business	50682347	Finance_occupations	finance occupations	771152	Business	business	2	Finance_occupations	raw	finance occupations	Business	raw	business
enwiki-h2-0003	enwiki	category_dag	709243	Communication	857453	Winnie-the-Pooh	winnie-the-pooh	78445454	Short_stories_about_talking_objects	short stories about talking objects	2	Winnie-the-Pooh	raw	winnie-the-pooh	Short_stories_about_talking_objects	raw	short stories about talking objects
enwiki-h2-0004	enwiki	category_dag	24980271	Concepts	57223209	Nostratic_languages	nostratic languages	1963117	Theories	theories	2	Nostratic_languages	raw	nostratic languages	Theories	raw	theories
enwiki-h2-0005	enwiki	category_dag	694861	Culture	61435038	Cheating_in_gambling	cheating in gambling	694861	Culture	culture	2	Cheating_in_gambling	raw	cheating in gambling	Culture	raw	culture
enwiki-h2-0006	enwiki	category_dag	47397287	Economy	35746569	Forestry-related_lists	forestry-related lists	50772364	Economy-related_lists	economy-related lists	2	Forestry-related_lists	raw	forestry-related lists	Economy-related_lists	raw	economy-related lists
enwiki-h2-0007	enwiki	category_dag	696763	Education	8398611	Student_mass_media	student mass media	696763	Education	education	2	Student_mass_media	raw	student mass media	Education	raw	education
enwiki-h2-0008	enwiki	category_dag	865456	Energy	6745479	Directed-energy_weapons	directed-energy weapons	865456	Energy	energy	2	Directed-energy_weapons	raw	directed-energy weapons	Energy	raw	energy
enwiki-h2-0009	enwiki	category_dag	692903	Engineering	43999884	Human_Genome_Project_scientists	human genome project scientists	692903	Engineering	engineering	2	Human_Genome_Project_scientists	raw	human genome project scientists	Engineering	raw	engineering
enwiki-h2-0010	enwiki	category_dag	60023454	Entities	27291257	Sinkholes	sinkholes	14372289	Objects	objects	2	Sinkholes	raw	sinkholes	Objects	raw	objects
enwiki-h2-0011	enwiki	category_dag	694860	Food_and_drink	39565398	Eating_parties	eating parties	53638516	Dining	dining	2	Eating_parties	raw	eating parties	Dining	raw	dining
enwiki-h2-0012	enwiki	category_dag	693800	Geography	34088982	National_Geospatial-Intelligence_Agency	national geospatial-intelligence agency	51209050	Geographic_data_and_information_organizations	geographic data and information organizations	2	National_Geospatial-Intelligence_Agency	raw	national geospatial-intelligence agency	Geographic_data_and_information_organizations	raw	geographic data and information organizations
enwiki-h2-0013	enwiki	category_dag	697609	Government	81890787	Vassal_rulers	vassal rulers	697609	Government	government	2	Vassal_rulers	raw	vassal rulers	Government	raw	government
enwiki-h2-0014	enwiki	category_dag	751381	Health	46845184	Hospitals_in_Guinea-Bissau	hospitals in guinea-bissau	69481574	Healthcare_in_Guinea-Bissau	healthcare in guinea-bissau	2	Hospitals_in_Guinea-Bissau	raw	hospitals in guinea-bissau	Healthcare_in_Guinea-Bissau	raw	healthcare in guinea-bissau
enwiki-h2-0015	enwiki	category_dag	693555	History	34088419	History_portal	history portal	693555	History	history	2	History_portal	raw	history portal	History	raw	history
enwiki-h2-0016	enwiki	category_dag	1004110	Humanities	7687074	Language_teachers	language teachers	27624683	Humanities_education	humanities education	2	Language_teachers	raw	language teachers	Humanities_education	raw	humanities education
enwiki-h2-0017	enwiki	category_dag	1009209	Information	78603869	Mathematics_occupations	mathematics occupations	1009209	Information	information	2	Mathematics_occupations	raw	mathematics occupations	Information	raw	information
enwiki-h2-0018	enwiki	category_dag	700914	Knowledge	2380601	Parables_of_Jesus	parables of jesus	20497537	Wisdom_literature	wisdom literature	2	Parables_of_Jesus	raw	parables of jesus	Wisdom_literature	raw	wisdom literature
enwiki-h2-0019	enwiki	category_dag	8017451	Language	5561744	ISO_639	iso 639	8017451	Language	language	2	ISO_639	raw	iso 639	Language	raw	language
enwiki-h2-0020	enwiki	category_dag	691928	Law	24660679	Medical_jurisprudence	medical jurisprudence	691928	Law	law	2	Medical_jurisprudence	raw	medical jurisprudence	Law	raw	law
enwiki-h2-0021	enwiki	category_dag	2389032	Life	70615160	Films_about_phoenixes	films about phoenixes	62800924	Phoenix_birds	phoenix birds	2	Films_about_phoenixes	raw	films about phoenixes	Phoenix_birds	raw	phoenix birds
enwiki-h2-0022	enwiki	category_dag	696790	Mass_media	34625890	Religious_software	religious software	79467678	Spiritual_media	spiritual media	2	Religious_software	raw	religious software	Spiritual_media	raw	spiritual media
enwiki-h2-0023	enwiki	category_dag	696603	Nature	45617574	Pharmacognosists	pharmacognosists	697022	Natural_sciences	natural sciences	2	Pharmacognosists	raw	pharmacognosists	Natural_sciences	raw	natural sciences
enwiki-h2-0024	enwiki	category_dag	691810	Philosophy	81827602	Faculties_of_philosophy_in_Brazil	faculties of philosophy in brazil	14561344	Philosophy_organizations	philosophy organizations	2	Faculties_of_philosophy_in_Brazil	raw	faculties of philosophy in brazil	Philosophy_organizations	raw	philosophy organizations
enwiki-h2-0025	enwiki	category_dag	695027	Politics	48423981	Democratic_Party_presidential_debates	democratic party presidential debates	37436748	Leaders'_debates	leaders' debates	2	Democratic_Party_presidential_debates	raw	democratic party presidential debates	Leaders'_debates	raw	leaders' debates
enwiki-h2-0026	enwiki	category_dag	692694	Religion	33071521	Biblical_dreams_and_visions	biblical dreams and visions	692694	Religion	religion	2	Biblical_dreams_and_visions	raw	biblical dreams and visions	Religion	raw	religion
enwiki-h2-0027	enwiki	category_dag	691182	Science	18441870	Polar_exploration	polar exploration	691182	Science	science	2	Polar_exploration	raw	polar exploration	Science	raw	science
enwiki-h2-0028	enwiki	category_dag	1633936	Society	38823017	Town_and_country_planning_in_Turkey	town and country planning in turkey	49142553	Rural_society_in_Europe	rural society in europe	2	Town_and_country_planning_in_Turkey	raw	town and country planning in turkey	Rural_society_in_Europe	raw	rural society in europe
enwiki-h2-0029	enwiki	category_dag	696648	Technology	16585181	Technology_evangelists	technology evangelists	696648	Technology	technology	2	Technology_evangelists	raw	technology evangelists	Technology	raw	technology
enwiki-h2-0030	enwiki	category_dag	744728	Time	24148745	Time_signals	time signals	744728	Time	time	2	Time_signals	raw	time signals	Time	raw	time
enwiki-h2-0031	enwiki	category_dag	48005914	Universe	39353807	Christian_Old_Earth_creationists	christian old earth creationists	919511	Creationism	creationism	2	Christian_Old_Earth_creationists	raw	christian old earth creationists	Creationism	raw	creationism
enwiki-h2-0032	enwiki	category_dag	693763	Academic_disciplines	81529797	Constitutional_history_of_Russia	constitutional history of russia	707341	Legal_history	legal history	2	Constitutional_history_of_Russia	raw	constitutional history of russia	Legal_history	raw	legal history
enwiki-h2-0033	enwiki	category_dag	737037	Behavior	14567412	Sexual_selection	sexual selection	737037	Behavior	behavior	2	Sexual_selection	raw	sexual selection	Behavior	raw	behavior
enwiki-h2-0034	enwiki	category_dag	771152	Business	22898960	Spouses_of_Australian_politicians	spouses of australian politicians	18113789	Official_social_partners_of_politicians	official social partners of politicians	2	Spouses_of_Australian_politicians	raw	spouses of australian politicians	Official_social_partners_of_politicians	raw	official social partners of politicians
enwiki-h2-0035	enwiki	category_dag	709243	Communication	18793873	Data_and_information_visualization_experts	data and information visualization experts	1009209	Information	information	2	Data_and_information_visualization_experts	raw	data and information visualization experts	Information	raw	information
enwiki-h2-0036	enwiki	category_dag	24980271	Concepts	17320449	Difference	difference	24980271	Concepts	concepts	2	Difference	raw	difference	Concepts	raw	concepts
enwiki-h2-0037	enwiki	category_dag	694861	Culture	27340252	British_Pakistani_mass_media	british pakistani mass media	43041456	Ethnic_mass_media	ethnic mass media	2	British_Pakistani_mass_media	raw	british pakistani mass media	Ethnic_mass_media	raw	ethnic mass media
enwiki-h2-0038	enwiki	category_dag	47397287	Economy	1229089	Supply_chain_management	supply chain management	68721914	Supply_networks	supply networks	2	Supply_chain_management	raw	supply chain management	Supply_networks	raw	supply networks
enwiki-h2-0039	enwiki	category_dag	696763	Education	56689328	Semester_at_sea_programs	semester at sea programs	696763	Education	education	2	Semester_at_sea_programs	raw	semester at sea programs	Education	raw	education
enwiki-h2-0040	enwiki	category_dag	865456	Energy	81861200	Wind_energy_cooperatives	wind energy cooperatives	11875229	Energy_cooperatives	energy cooperatives	2	Wind_energy_cooperatives	raw	wind energy cooperatives	Energy_cooperatives	raw	energy cooperatives
enwiki-h2-0041	enwiki	category_dag	692903	Engineering	42482578	Graphene	graphene	8058041	Nanomaterials	nanomaterials	2	Graphene	raw	graphene	Nanomaterials	raw	nanomaterials
enwiki-h2-0042	enwiki	category_dag	60023454	Entities	1196890	Singularitarianism	singularitarianism	772259	Philosophy_of_mind	philosophy of mind	2	Singularitarianism	raw	singularitarianism	Philosophy_of_mind	raw	philosophy of mind
enwiki-h2-0043	enwiki	category_dag	694860	Food_and_drink	71545070	Cake_decorating	cake decorating	694860	Food_and_drink	food and drink	2	Cake_decorating	raw	cake decorating	Food_and_drink	raw	food and drink
enwiki-h2-0044	enwiki	category_dag	693800	Geography	724833	Geocodes	geocodes	9962372	Geography_terminology	geography terminology	2	Geocodes	raw	geocodes	Geography_terminology	raw	geography terminology
enwiki-h2-0045	enwiki	category_dag	697609	Government	27423924	Religion_in_the_Israel_Defense_Forces	religion in the israel defense forces	44449531	Religion_and_government	religion and government	2	Religion_in_the_Israel_Defense_Forces	raw	religion in the israel defense forces	Religion_and_government	raw	religion and government
enwiki-h2-0046	enwiki	category_dag	751381	Health	63464250	Health_and_video_gaming	health and video gaming	751381	Health	health	2	Health_and_video_gaming	raw	health and video gaming	Health	raw	health
enwiki-h2-0047	enwiki	category_dag	693555	History	52616792	Books_about_economic_crises	books about economic crises	50238042	Works_about_economic_history	works about economic history	2	Books_about_economic_crises	raw	books about economic crises	Works_about_economic_history	raw	works about economic history
enwiki-h2-0048	enwiki	category_dag	1004110	Humanities	22811075	Museum_education	museum education	1004110	Humanities	humanities	2	Museum_education	raw	museum education	Humanities	raw	humanities
enwiki-h2-0049	enwiki	category_dag	1009209	Information	39071818	Internet_privacy_organizations	internet privacy organizations	44363114	Information_privacy	information privacy	2	Internet_privacy_organizations	raw	internet privacy organizations	Information_privacy	raw	information privacy
enwiki-h3-0000	enwiki	category_dag	693763	Academic_disciplines	11764402	Liberal_arts_colleges_in_the_Philippines	liberal arts colleges in the philippines	693763	Academic_disciplines	academic disciplines	3	Liberal_arts_colleges_in_the_Philippines	raw	liberal arts colleges in the philippines	Academic_disciplines	raw	academic disciplines
enwiki-h3-0001	enwiki	category_dag	737037	Behavior	13609231	Mimicry	mimicry	737037	Behavior	behavior	3	Mimicry	raw	mimicry	Behavior	raw	behavior
enwiki-h3-0002	enwiki	category_dag	771152	Business	15445793	Labor_relations_boards	labor relations boards	11424082	Labour_law	labour law	3	Labor_relations_boards	raw	labor relations boards	Labour_law	raw	labour law
enwiki-h3-0003	enwiki	category_dag	709243	Communication	47421055	Comparison_of_Germanic_languages_and_dialects	comparison of germanic languages and dialects	1009209	Information	information	3	Comparison_of_Germanic_languages_and_dialects	raw	comparison of germanic languages and dialects	Information	raw	information
enwiki-h3-0004	enwiki	category_dag	24980271	Concepts	9833053	String_metrics	string metrics	24980271	Concepts	concepts	3	String_metrics	raw	string metrics	Concepts	raw	concepts
enwiki-h3-0005	enwiki	category_dag	694861	Culture	52233752	Christian_orders,_decorations,_and_medals	christian orders, decorations, and medals	694861	Culture	culture	3	Christian_orders,_decorations,_and_medals	raw	christian orders, decorations, and medals	Culture	raw	culture
enwiki-h3-0006	enwiki	category_dag	47397287	Economy	4988891	Vacuum_cleaners	vacuum cleaners	916951	Consumer_goods	consumer goods	3	Vacuum_cleaners	raw	vacuum cleaners	Consumer_goods	raw	consumer goods
enwiki-h3-0007	enwiki	category_dag	696763	Education	64081633	Western_University_of_Health_Sciences	western university of health sciences	10246702	Learning_methods	learning methods	3	Western_University_of_Health_Sciences	raw	western university of health sciences	Learning_methods	raw	learning methods
enwiki-h3-0008	enwiki	category_dag	865456	Energy	34437575	King_Fahd_University_of_Petroleum_and_Minerals_alumni	king fahd university of petroleum and minerals alumni	55537452	Energy_education	energy education	3	King_Fahd_University_of_Petroleum_and_Minerals_alumni	raw	king fahd university of petroleum and minerals alumni	Energy_education	raw	energy education
enwiki-h3-0009	enwiki	category_dag	692903	Engineering	30735500	Lime_kilns	lime kilns	692903	Engineering	engineering	3	Lime_kilns	raw	lime kilns	Engineering	raw	engineering
enwiki-h3-0010	enwiki	category_dag	60023454	Entities	24909288	Mental_disorders	mental disorders	60023454	Entities	entities	3	Mental_disorders	raw	mental disorders	Entities	raw	entities
enwiki-h3-0011	enwiki	category_dag	694860	Food_and_drink	9302840	Military_food_of_Canada	military food of canada	694860	Food_and_drink	food and drink	3	Military_food_of_Canada	raw	military food of canada	Food_and_drink	raw	food and drink
enwiki-h3-0012	enwiki	category_dag	693800	Geography	47913116	Titles_in_Bosnia	titles in bosnia	49222776	Geographical_regions	geographical regions	3	Titles_in_Bosnia	raw	titles in bosnia	Geographical_regions	raw	geographical regions
enwiki-h3-0013	enwiki	category_dag	697609	Government	32009329	Motorcycle_standards	motorcycle standards	697609	Government	government	3	Motorcycle_standards	raw	motorcycle standards	Government	raw	government
enwiki-h3-0014	enwiki	category_dag	751381	Health	25326754	Exercise_television_shows	exercise television shows	751381	Health	health	3	Exercise_television_shows	raw	exercise television shows	Health	raw	health
enwiki-h3-0015	enwiki	category_dag	693555	History	75352499	Marathi-language_biographical_films	marathi-language biographical films	32136051	Indian_history_in_popular_culture	indian history in popular culture	3	Marathi-language_biographical_films	raw	marathi-language biographical films	Indian_history_in_popular_culture	raw	indian history in popular culture
enwiki-h3-0016	enwiki	category_dag	1004110	Humanities	11119769	Casual_script_typefaces	casual script typefaces	1004110	Humanities	humanities	3	Casual_script_typefaces	raw	casual script typefaces	Humanities	raw	humanities
enwiki-h3-0017	enwiki	category_dag	1009209	Information	5154927	Telephone_directory_publishing_companies	telephone directory publishing companies	1009209	Information	information	3	Telephone_directory_publishing_companies	raw	telephone directory publishing companies	Information	raw	information
enwiki-h3-0018	enwiki	category_dag	700914	Knowledge	5353483	Consulting	consulting	700914	Knowledge	knowledge	3	Consulting	raw	consulting	Knowledge	raw	knowledge
enwiki-h3-0019	enwiki	category_dag	691928	Law	34742377	Legal_professional_privilege	legal professional privilege	691928	Law	law	3	Legal_professional_privilege	raw	legal professional privilege	Law	raw	law
enwiki-h3-0020	enwiki	category_dag	2389032	Life	31303793	Lithophiles	lithophiles	42501585	Speculative_evolution	speculative evolution	3	Lithophiles	raw	lithophiles	Speculative_evolution	raw	speculative evolution
enwiki-h3-0021	enwiki	category_dag	696790	Mass_media	37591464	Audiovisual_ephemera	audiovisual ephemera	60926601	Stock_media	stock media	3	Audiovisual_ephemera	raw	audiovisual ephemera	Stock_media	raw	stock media
enwiki-h3-0022	enwiki	category_dag	690747	Mathematics	51270028	Awards_and_prizes_of_the_Association_for_Women_in_Mathematics	awards and prizes of the association for women in mathematics	690747	Mathematics	mathematics	3	Awards_and_prizes_of_the_Association_for_Women_in_Mathematics	raw	awards and prizes of the association for women in mathematics	Mathematics	raw	mathematics
enwiki-h3-0023	enwiki	category_dag	696603	Nature	30994459	Community_gardening	community gardening	696603	Nature	nature	3	Community_gardening	raw	community gardening	Nature	raw	nature
enwiki-h3-0024	enwiki	category_dag	691008	People	75554042	John_James_Audubon	john james audubon	691008	People	people	3	John_James_Audubon	raw	john james audubon	People	raw	people
enwiki-h3-0025	enwiki	category_dag	691810	Philosophy	52579201	Ancient_Greek_philosophers_of_language	ancient greek philosophers of language	2016110	History_of_logic	history of logic	3	Ancient_Greek_philosophers_of_language	raw	ancient greek philosophers of language	History_of_logic	raw	history of logic
enwiki-h3-0026	enwiki	category_dag	692694	Religion	53595198	Christianity-related_lists_of_superlatives	christianity-related lists of superlatives	692694	Religion	religion	3	Christianity-related_lists_of_superlatives	raw	christianity-related lists of superlatives	Religion	raw	religion
enwiki-h3-0027	enwiki	category_dag	691182	Science	50836823	Subtraction	subtraction	3674304	Scientific_terminology	scientific terminology	3	Subtraction	raw	subtraction	Scientific_terminology	raw	scientific terminology
enwiki-h3-0028	enwiki	category_dag	1633936	Society	71777427	Pre-Columbian_civilizations	pre-columbian civilizations	1633936	Society	society	3	Pre-Columbian_civilizations	raw	pre-columbian civilizations	Society	raw	society
