pair_id	source_index	subset_index	hop	descendant_title_audit_action	ancestor_title_audit_action	raw_D	audited_D	delta_D	raw_S	audited_S	delta_S	raw_D_relation	audited_D_relation	raw_S_relation	audited_S_relation	response_changed	raw_response_sha256	audited_response_sha256
pearltrees-h2-0003	53	10	2	corrected	raw	0.9	0.9	0	0.25	0.3	0.05	subtopic	subtopic	assoc	assoc	true	540041605f7af3a0f1aaa8c876738c80bf3b545aacfb5252cf379f0a9e01e071	4565bcbf41dfde4c8d21285e8d4520b0fa3ef1bbf55984fa6b0a838900c4ac9e
pearltrees-h2-0006	56	11	2	raw	corrected	0.45	0.45	0	0.55	0.55	0	subtopic	subtopic	assoc	assoc	true	50e2d9c2515a6af59c6f1b7ad3a57e6791cda621005019e93a4bcd358ebcd6ba	6ca22aa0bc70f5e4e41689f11ffbce9668ce0a02e00f745a629d0e0a84951489
pearltrees-h2-0008	58	12	2	corrected	raw	0.85	0.85	0	0.45	0.35	-0.1	super_category	super_category	assoc	assoc	true	94520dfcf4a7a2ef4e2b64d5ff8f7efa2d81a13bfd83238557406d2c8be7291f	661703d1b4290c074bb58d7ec6307fec326f89e536ea2c46f905458cccdb9792
pearltrees-h2-0012	62	13	2	corrected	corrected	0.15	0.15	0	0.25	0.35	0.1	subtopic	subtopic	assoc	assoc	true	c049b0a310bc4607d7447732fdb50ba960da05f34e35739d8847745e853ac3af	f1b7481b427a82340c232b513979b4273fd9b76661bcd936ec6489edd7207718
pearltrees-h2-0013	63	14	2	raw	corrected	0.65	0.65	0	0.65	0.6	-0.05	super_category	super_category	assoc	assoc	true	7b16c5ead482af0ae5858d043007b5982f4cc93995f6ba1b7cb82224eaaee25c	45f55e79c0aa96eab098bf4e16d3c2f547223598e8a7d42e986b31fbbc7ef7b5
pearltrees-h2-0018	68	15	2	corrected	raw	0.55	0.65	0.1	0.5	0.45	-0.05	subtopic	subtopic	assoc	assoc	true	7a2ac367e8581362f9bc89ae8158c382c4c1924a1dd8a1d2a59dd342d18c1662	1f58d60b539b4dca8888206f15be22a73dfc7b1b97ec8e77018fd3c558849799
pearltrees-h2-0027	77	16	2	corrected	raw	0.18	0.2	0.02	0.38	0.35	-0.03	subtopic	subtopic	assoc	assoc	true	c475b0d67c29bc8860f693e29bde439c933a4b40f0f69cafe76de6108d9f3b55	9c3da1ee721bde0856918105e3efd3d4f198e3736f27a564294251c31a8bbb22
pearltrees-h2-0030	80	17	2	corrected	raw	0.35	0.45	0.1	0.25	0.45	0.2	subtopic	subtopic	assoc	assoc	true	656368c40739f4bc53f3a6a4886bf012623bb1938adf40eab829d9ef71067d83	13a209acd00cf8813bda60eb3ac6e9446836babf4324910cdafdf92aeb522c16
pearltrees-h2-0040	90	18	2	corrected	raw	0.25	0.25	0	0.45	0.4	-0.05	subtopic	subtopic	assoc	assoc	true	600fbfddf1c6871ad999e076f3536722dcbd4f6d6929149c65ec02d74d77c84f	17373e7952c1ab0688b1a5b41457e41e13433aeeeb185f9ddfb9aae95fa34f0a
pearltrees-h2-0043	93	19	2	corrected	raw	0.65	0.85	0.2	0.55	0.55	0	subtopic	super_category	assoc	assoc	true	8fcc55c825b00e10eb0e88af92004e3c115775cbf541ccd6dd5f20db29aa1f07	7839c5feb443cedaae0449a5b114ca4eac5cbbc297b730a0352e90629b9a073d
pearltrees-h2-0046	96	20	2	raw	corrected	0.25	0.35	0.1	0.45	0.55	0.1	subtopic	subtopic	assoc	assoc	true	4034fad17f4a427d3be3aa3f767f70e718f7e2a3cb15ead8b76470f16b048ca5	6a1cde39de1d03d5dd6153b06c5fd6c822390004685ce96989ce2e865d1d2c4a
pearltrees-h2-0048	98	21	2	raw	corrected	0.6	0.55	-0.05	0.55	0.55	0	subtopic	subtopic	assoc	assoc	true	4af21ce28f97f896e883a5b166fa32beafb3ebcf5b48333a4a888106d763fc84	cd3445db98e56162abcc9cedc1e452210342b9378d5b56a38f99e75f6ef186ca
pearltrees-h3-0001	101	22	3	corrected	raw	0.75	0.45	-0.3	0.45	0.45	0	subtopic	subtopic	assoc	assoc	true	67c523b44577675e4a2f8a826aefb8b7385d4870b846ebc7ed7c9bc6d12ffb46	21a66d6074d8dcbf2e4df4c5dac2866964190e5545066b6d4ec2c417b2457789
pearltrees-h3-0011	111	23	3	corrected	raw	0.03	0.1	0.07	0.08	0.25	0.17	subtopic	subtopic	assoc	assoc	true	0c31849c1a241b14816c525f0f22e9998cde5034d74f704bc00c9c82013ce780	9142fb42cdfead23d32bd20e7df39f5db0cb531e8194c8c68c5d1b4a147b1e94
pearltrees-h3-0019	119	24	3	corrected	raw	0.8	0.75	-0.05	0.5	0.5	0	subtopic	subtopic	assoc	assoc	true	76225090d5a6e01b7c8d82bbb32652b1ca384338582e997104313bf7f940f74d	7b22e2b2a39ae072d6f44c1f379a1d5edfe373dd8c125dc2e35cca8c8a9e1cba
pearltrees-h3-0021	121	25	3	raw	corrected	0.8	0.9	0.1	0.25	0.35	0.1	element_of	element_of	assoc	assoc	true	ff36b50218fcf3aaf4ef26162972c0c578f9c279412badc0745625476124388d	01646dd98dd6bfd83a2b853226a9097863fa82abda9db8f806f16d5fabc53b9d
pearltrees-h3-0023	123	26	3	corrected	raw	0.35	0.25	-0.1	0.35	0.35	0	subtopic	subtopic	assoc	assoc	true	5181d3241aae6e1f0e76374ae888a39f38762d85d07c943b465676856dc4e185	d01bd6dacab042570160eb3977677264d7569341757f15e5f51e6a34f8479d7d
pearltrees-h3-0032	132	27	3	corrected	corrected	0.25	0.25	0	0.45	0.55	0.1	subtopic	subtopic	assoc	assoc	true	b01ab4f6fb8e0c164a41758f5d5928831b1d25e3a71951042066515b3c48382b	a90c1277a64d79dde8387f9c8b53d28876f14990976f18d1e610511bc9757f8b
pearltrees-h3-0034	134	28	3	corrected	raw	0.55	0.65	0.1	0.5	0.55	0.05	subtopic	subtopic	assoc	assoc	true	81d961e6a9fc32c838b0ab33a5b7069d0f999261dbbe41ca7c8927b88b5bdc3c	04f0d54a153afeba5f16ca17041222dd4cca78796c513bc8da0995d4dfade9aa
pearltrees-h3-0035	135	29	3	corrected	raw	0.3	0.35	0.05	0.45	0.5	0.05	subtopic	subtopic	assoc	assoc	true	fe4c4908e1861e49ad99ec76d2757c4ea1cf0552b474a99eadba86ab6b2ae6a4	21c85025bf93077a6434948e5fae333c2a9c2018822bbf186de9f1775b5a5eea
pearltrees-h3-0048	148	30	3	corrected	corrected	0.9	0.85	-0.05	0.35	0.35	0	element_of	element_of	assoc	assoc	true	6d38aff67a01a822a296ae21c122d0ea189c2fbf8e9654db8a708e59d6967900	85cbf038878cb71a963c332ef86745ebf7ebfcdeb3c059e3919f1cefe801a1e1
pearltrees-h4-0001	151	31	4	corrected	raw	0.35	0.35	0	0.42	0.45	0.03	subtopic	subtopic	assoc	assoc	true	08874fc602e801831a0e4686e6583d00ae2b4980003fa4252403311bf382f6e0	a7c7690d68b1567c8b6d03f744ae55ac3adea6e8a08ba61cb5a0c2c64a39de8d
pearltrees-h4-0009	159	32	4	raw	corrected	0.22	0.35	0.13	0.35	0.55	0.2	subtopic	subtopic	assoc	assoc	true	cc5f79ba9d0d8fa690a5638e1eaf2bcd1a71198f80977d36461b270b1d7854a9	20b39d08d036d2867e58570f13c4e21d1e9ceea03780985fafca072e29effe92
pearltrees-h4-0022	172	33	4	raw	corrected	0.1	0.08	-0.02	0.2	0.3	0.1	subtopic	subtopic	assoc	assoc	true	ee2dd8a31085672f9fe77b29aa232641f1226a9cbe53b5bc47adbc78bf56cb01	b4f95cf3118fd28dde2f6d0a49c22f3cc21e398036e36d9b86711e4c29e97c9c
pearltrees-h4-0023	173	34	4	corrected	raw	0.75	0.75	0	0.35	0.35	0	subtopic	subtopic	assoc	assoc	true	6ae4c96adcec6d3b8e3c6c12e35a66fcb49060913bcdf451c3d48e16370bb867	43f0b160b4f21a8590c9b2308031eeb6a7794c261b0ff297ec6dccec8e34e68f
pearltrees-h4-0025	175	35	4	corrected	raw	0.08	0.08	0	0.18	0.18	0	subtopic	subtopic	assoc	assoc	true	8a4276045208cc86a997e41e9ec95db1339cee302149127957eff7644c7ac3e5	aaaf5fbb6310d7e789bbcdf626331919021b4888467732406a7cff4d3755e76b
pearltrees-h4-0042	192	36	4	raw	corrected	0.08	0.12	0.04	0.22	0.35	0.13	subtopic	subtopic	assoc	assoc	true	0b496ef0d77c6af39dffc819d5bfa74a6aeb5593d361e7dc95763916fd59302c	5aad38ad9625f9c4d8bea982c035a12440d7a9e74e7d4959c5a0f4821a56c76e
pearltrees-h4-0045	195	37	4	raw	corrected	0.12	0.12	0	0.32	0.22	-0.1	subtopic	subtopic	assoc	assoc	true	f4b83891e9752e2c36ac86c04c21322387497c123e4cbe29968af99f287e479a	c3a87d21bb4ebaf3fe23a9b46ae44016c3d07236043a699247008b38d3d22ac9
pearltrees-h4-0048	198	38	4	raw	corrected	0.08	0.05	-0.03	0.24	0.18	-0.06	subtopic	subtopic	assoc	assoc	true	e182cabc7e2f9fb121d1b7e8851b550353f9486440809d371d35157ff6e0c047	7f970ef58b6b5a0b6ac46520350c05e1c0287ea2daac0f2759ad795bbeb2e911
pearltrees-h4-0049	199	39	4	corrected	raw	0.28	0.4	0.12	0.32	0.35	0.03	subtopic	subtopic	assoc	assoc	true	bcf75410ce87f04fd2e8a7926942e9b72a0b5d2d1a247ec405099fabd985623d	a66bdf6bfe893ae0daa9cc70e8f139e0dc5f2e8411f12a0bbbb2e11d3102578e
pearltrees-h5-0000	200	40	5	corrected	raw	0.05	0.03	-0.02	0.08	0.08	0	subtopic	subtopic	assoc	assoc	true	25d124466f799e995e9a269787dddbadcd622c1363886750634cf69c09e6b292	a7728f2d7de4a2ea9de4c25a30a099e5763181bf826fc2ed871e27abe33a3c0f
pearltrees-h5-0002	202	41	5	corrected	raw	0.35	0.55	0.2	0.35	0.35	0	subtopic	subtopic	assoc	assoc	true	933fb9410432c21a986f5b1ac69f7ce6065c0b802574ec154beebd5630a0c235	40a8ecd7a89ce44f65b83144b93a4c25a3d3ca35ae31afb80b9e21401212dfb8
pearltrees-h5-0010	210	42	5	raw	corrected	0.55	0.65	0.1	0.35	0.45	0.1	subtopic	subtopic	assoc	assoc	true	ff8b9309f1c2ecdd075115b70233a29e100a49acb3a3680c98627dca8e326b5b	99b4c332a8ac25adf571d3feaf305a5f49810e5026161fbff7c4f3e8eda5f932
pearltrees-h5-0011	211	43	5	corrected	raw	0.08	0.05	-0.03	0.18	0.18	0	subtopic	subtopic	assoc	assoc	true	be983f5a6b8b15494ebe6b939aef2219032848c043e7ad303d62cd44c1c20429	2299fa91763dfb8447a8729994deb4f054e60d9db1bee8fa682f332662e51de9
pearltrees-h5-0021	221	44	5	corrected	raw	0.65	0.55	-0.1	0.45	0.5	0.05	subtopic	subtopic	assoc	assoc	true	056cec970c15af9d3dc9b867a6d12bf91bcb6b4c00cc3a0a96a807753e2f0255	86250e671109eebbe5a266c5f22a6e8f8ce4b8099122035e94654586dc787593
pearltrees-h5-0022	222	45	5	corrected	raw	0.25	0.12	-0.13	0.35	0.22	-0.13	subtopic	subtopic	assoc	assoc	true	1fd0e5778d61ba899fd88ceb1e016893b3a5348705258b1bb2fad6eb59a7980d	a72d78a9c8202f00df6770362388c6417fc6ea1ab27d6d9d09571dca7475a000
pearltrees-h5-0024	224	46	5	corrected	raw	0.08	0.08	0	0.18	0.22	0.04	subtopic	subtopic	assoc	assoc	true	1c364920822988f1e487db19a0bd753e18acda1ad7f232572ceb4d585ab0375b	e836f694499c1fe430bf927e390936e7d04d3fa9531c91ce98864dbc4336b2b8
pearltrees-h5-0026	226	47	5	corrected	raw	0.12	0.12	0	0.28	0.35	0.07	subtopic	subtopic	assoc	assoc	true	b842a36849088959c6971d43cb26ca07825b7283de4ff330b7993378e0c2f6e3	22dfb658984cd4f028801b221db74d134155a1e2ad8fadd1fe65d943a3a55ab0
pearltrees-h5-0028	228	48	5	corrected	raw	0.75	0.75	0	0.35	0.45	0.1	subtopic	subtopic	assoc	assoc	true	854dcca05cabd1da8c9a2fe1a631b9256fef6a09d7281579360249bb9e73a096	70078075f22a8af71dc3a6f1ad200c028080917e4173e5a6e4fcdda2d024a03b
pearltrees-h5-0032	232	49	5	corrected	raw	0.22	0.6	0.38	0.38	0.42	0.04	subtopic	subtopic	assoc	assoc	true	d61b1a773628c6e16e8ca390148c976288f16c8d38624c477459896795090a8a	0f9ebf098eb7f239ad06615280b796a336de63c8f531d882beeacbf1b7f21323
pearltrees-h5-0039	239	50	5	corrected	raw	0.2	0.12	-0.08	0.38	0.35	-0.03	subtopic	subtopic	assoc	assoc	true	0494f06ab2edbc2d2ecd77c75084079c0d26ba9b317090ade1269756e302f013	922e7f68c7775a3591b78ce34470ba8eda3480333202dbe5e9daca9c57415dc0
pearltrees-h5-0043	243	51	5	corrected	raw	0.75	0.75	0	0.3	0.35	0.05	subtopic	subtopic	assoc	assoc	true	bb6f18581b6fe608c1b9b1b9ac79bf46a4a2aaa94c9c144cb3afe2130b540689	60712f633dd3e1e69a3b015f9e1f2c1a9af4a3db1e8376e732f0081c5d705f16
pearltrees-h5-0048	248	52	5	corrected	raw	0.35	0.45	0.1	0.25	0.25	0	element_of	element_of	assoc	assoc	true	85eefd1802d8ace5bfdb052fc447e5c6c9ca2019982c07d39ecdad5358d5a119	6969643fc2cb2b12d2289b82d61e98cf953edb4f0e63654af09064b4d0037990
