# node	root	cur_rel	neighborhood	judge	P[element_of]	P[subcategory]	P[subtopic]	P[super_category]	P[see_also]	P[assoc]	P[unknown]	P[none]	mu[element_of]	mu[subcategory]	mu[subtopic]	mu[super_category]	mu[see_also]	mu[assoc]	mu[unknown]	mu[none]	E_mu_fwd	E_mu_rev
Lists_of_things_named_after_mathematicians	Mathematics-related_lists	subcategory	transitive_h1	gpt-5.5-low	0.044	0.374	0.308	0.000	0.088	0.154	0.022	0.009	0.100	0.850	0.700	0.000	0.200	0.350	0.050	0.000	0.611	0.073
Nanotechnology_and_the_environment	Environmental_issues	subcategory	transitive_h1	gpt-5.5-low	0.009	0.204	0.362	0.000	0.136	0.226	0.045	0.018	0.020	0.450	0.800	0.000	0.300	0.500	0.100	0.000	0.540	0.156
Women_and_philosophy	Philosophy	subcategory	transitive_h1	gpt-5.5-low	0.010	0.173	0.421	0.000	0.124	0.223	0.040	0.010	0.020	0.350	0.850	0.000	0.250	0.450	0.080	0.000	0.553	0.133
Political_communication	Politics	subcategory	transitive_h1	gpt-5.5-low	0.009	0.230	0.392	0.000	0.115	0.207	0.037	0.009	0.020	0.500	0.850	0.000	0.250	0.450	0.080	0.000	0.573	0.124
Weekly_Torah_readings_in_Tammuz_(Hebrew_month)	Tammuz_(Hebrew_month)	subcategory	transitive_h1	gpt-5.5-low	0.064	0.233	0.381	0.000	0.127	0.169	0.021	0.004	0.150	0.550	0.900	0.000	0.300	0.400	0.050	0.000	0.588	0.107
Forensic_occupations	Science_occupations	subcategory	transitive_h1	gpt-5.5-low	0.024	0.377	0.307	0.000	0.094	0.165	0.024	0.009	0.050	0.800	0.650	0.000	0.200	0.350	0.050	0.000	0.580	0.078
Sectarianism	Social_conflict	subcategory	transitive_h1	gpt-5.5-low	0.014	0.208	0.370	0.000	0.116	0.231	0.046	0.014	0.030	0.450	0.800	0.000	0.250	0.500	0.100	0.000	0.540	0.147
Telerehabilitation	Telehealth	subcategory	transitive_h1	gpt-5.5-low	0.021	0.370	0.350	0.008	0.082	0.144	0.021	0.004	0.050	0.900	0.850	0.000	0.200	0.350	0.050	0.000	0.700	0.075
22nd-century_lunar_eclipses	22nd-century_astronomical_events	subcategory	transitive_h1	gpt-5.5-low	0.025	0.468	0.394	0.005	0.025	0.074	0.010	0.000	0.050	0.950	0.800	0.000	0.050	0.150	0.020	0.000	0.774	0.017
Physical_objects	Matter	subcategory	transitive_h1	gpt-5.5-low	0.009	0.212	0.189	0.094	0.142	0.212	0.118	0.024	0.020	0.500	0.450	0.150	0.300	0.450	0.250	0.000	0.373	0.200
Specific_University_Curricula	Curricula	subcategory	transitive_h1	gpt-5.5-low	0.066	0.398	0.332	0.009	0.044	0.111	0.035	0.004	0.150	0.900	0.750	0.000	0.100	0.250	0.080	0.000	0.652	0.043
Object_manipulation	Sleight_of_hand	subcategory	transitive_h1	gpt-5.5-low	0.021	0.147	0.273	0.034	0.189	0.231	0.084	0.021	0.050	0.350	0.650	0.050	0.450	0.550	0.200	0.000	0.461	0.237
Agricultural_organisations_based_in_Malaysia	Business_organisations_based_in_Malaysia	subcategory	transitive_h1	gpt-5.5-low	0.017	0.304	0.193	0.017	0.055	0.193	0.138	0.083	0.030	0.550	0.350	0.000	0.100	0.350	0.250	0.000	0.343	0.109
Cybernetics	Feedback	subcategory	transitive_h1	gpt-5.5-low	0.008	0.039	0.138	0.177	0.217	0.295	0.118	0.008	0.020	0.100	0.450	0.550	0.550	0.750	0.300	0.000	0.540	0.395
Alien_language	Linguistic_theories_and_hypotheses	subcategory	transitive_h1	gpt-5.5-low	0.026	0.130	0.259	0.016	0.130	0.233	0.130	0.078	0.050	0.250	0.500	0.000	0.250	0.450	0.250	0.000	0.333	0.167
Politics_in_culture	Topics_in_culture	subcategory	transitive_h1	gpt-5.5-low	0.013	0.391	0.370	0.004	0.065	0.130	0.022	0.004	0.030	0.900	0.850	0.000	0.150	0.300	0.050	0.000	0.717	0.054
Conservative_Party_(UK)-related_lists	Conservative_Party_(UK)	subcategory	transitive_h1	gpt-5.5-low	0.022	0.088	0.310	0.013	0.243	0.221	0.088	0.013	0.050	0.200	0.700	0.000	0.550	0.500	0.200	0.000	0.498	0.261
Outlines_of_education	Education	subcategory	transitive_h1	gpt-5.5-low	0.026	0.130	0.469	0.026	0.130	0.182	0.026	0.010	0.050	0.200	0.850	0.000	0.250	0.400	0.050	0.000	0.533	0.110
Energy_sources	Energy	subcategory	transitive_h1	gpt-5.5-low	0.021	0.333	0.354	0.021	0.104	0.146	0.017	0.004	0.050	0.750	0.800	0.000	0.250	0.450	0.050	0.000	0.627	0.096
Presidents_of_the_Women's_Engineering_Society	Women's_Engineering_Society	subcategory	transitive_h1	gpt-5.5-low	0.080	0.179	0.339	0.008	0.199	0.159	0.032	0.004	0.250	0.450	0.800	0.000	0.500	0.450	0.100	0.000	0.546	0.172
Mathematical_structures	Structure	subcategory	transitive_h1	gpt-5.5-low	0.018	0.293	0.293	0.036	0.113	0.180	0.045	0.023	0.050	0.650	0.650	0.000	0.250	0.450	0.100	0.000	0.495	0.116
Sports_drinks	Sports_nutrition	subcategory	transitive_h1	gpt-5.5-low	0.061	0.244	0.325	0.012	0.142	0.183	0.024	0.008	0.200	0.550	0.750	0.000	0.350	0.500	0.080	0.000	0.533	0.142
Desertification	Deserts	subcategory	transitive_h1	gpt-5.5-low	0.010	0.052	0.262	0.005	0.183	0.314	0.131	0.042	0.020	0.100	0.500	0.000	0.350	0.650	0.250	0.000	0.437	0.282
New_College_of_Florida	Public_honors_colleges	subcategory	transitive_h1	gpt-5.5-low	0.446	0.050	0.124	0.005	0.149	0.198	0.020	0.010	0.900	0.150	0.300	0.000	0.300	0.450	0.050	0.000	0.580	0.134
Diet_food_writers	Health_and_wellness_writers	subcategory	transitive_h1	gpt-5.5-low	0.065	0.366	0.280	0.009	0.108	0.151	0.017	0.004	0.200	0.850	0.650	0.000	0.250	0.400	0.050	0.000	0.595	0.088
Historians	History	subcategory	transitive_h1	gpt-5.5-low	0.048	0.120	0.359	0.010	0.167	0.239	0.048	0.010	0.150	0.250	0.800	0.000	0.350	0.550	0.150	0.000	0.522	0.192
Mormon_studies	Christianity_studies	subcategory	transitive_h1	gpt-5.5-low	0.020	0.317	0.337	0.008	0.139	0.159	0.016	0.004	0.050	0.800	0.850	0.000	0.350	0.450	0.050	0.000	0.662	0.121
Applied_philosophy	Academic_disciplines	subcategory	transitive_h2	gpt-5.5-low	0.041	0.365	0.315	0.010	0.061	0.152	0.041	0.015	0.050	0.780	0.650	0.000	0.150	0.350	0.100	0.000	0.558	0.072
Films_about_sexism	Works_about_sex	subcategory	transitive_h2	gpt-5.5-low	0.019	0.235	0.265	0.012	0.086	0.235	0.074	0.074	0.020	0.420	0.480	0.000	0.180	0.450	0.120	0.000	0.356	0.132
Finance_occupations	Business	subcategory	transitive_h2	gpt-5.5-low	0.019	0.263	0.325	0.010	0.077	0.239	0.048	0.019	0.030	0.600	0.720	0.000	0.200	0.550	0.150	0.000	0.547	0.156
Winnie-the-Pooh	Short_stories_about_talking_objects	subcategory	transitive_h2	gpt-5.5-low	0.033	0.083	0.108	0.017	0.108	0.267	0.150	0.233	0.030	0.120	0.160	0.000	0.180	0.400	0.180	0.000	0.182	0.143
Nostratic_languages	Theories	subcategory	transitive_h2	gpt-5.5-low	0.043	0.223	0.309	0.011	0.090	0.229	0.053	0.043	0.080	0.480	0.620	0.000	0.220	0.500	0.140	0.000	0.444	0.144
Cheating_in_gambling	Culture	subcategory	transitive_h2	gpt-5.5-low	0.018	0.061	0.158	0.009	0.053	0.246	0.123	0.333	0.010	0.080	0.220	0.000	0.080	0.320	0.160	0.000	0.142	0.093
Forestry-related_lists	Economy-related_lists	subcategory	transitive_h2	gpt-5.5-low	0.026	0.231	0.282	0.013	0.077	0.218	0.077	0.077	0.030	0.420	0.500	0.000	0.160	0.400	0.140	0.000	0.349	0.111
Student_mass_media	Education	subcategory	transitive_h2	gpt-5.5-low	0.017	0.169	0.371	0.011	0.090	0.253	0.056	0.034	0.020	0.350	0.720	0.000	0.200	0.520	0.120	0.000	0.482	0.158
Directed-energy_weapons	Energy	subcategory	transitive_h2	gpt-5.5-low	0.015	0.104	0.222	0.007	0.104	0.311	0.104	0.133	0.010	0.180	0.360	0.000	0.180	0.480	0.160	0.000	0.283	0.178
Human_Genome_Project_scientists	Engineering	subcategory	transitive_h2	gpt-5.5-low	0.019	0.056	0.131	0.009	0.056	0.243	0.168	0.318	0.010	0.080	0.180	0.000	0.080	0.320	0.200	0.000	0.144	0.100
Sinkholes	Objects	subcategory	transitive_h2	gpt-5.5-low	0.157	0.197	0.079	0.016	0.039	0.236	0.079	0.197	0.150	0.250	0.050	0.000	0.050	0.250	0.100	0.000	0.146	0.066
Eating_parties	Dining	subcategory	transitive_h2	gpt-5.5-low	0.109	0.326	0.326	0.009	0.043	0.152	0.022	0.013	0.250	0.700	0.750	0.000	0.100	0.350	0.050	0.000	0.559	0.058
National_Geospatial-Intelligence_Agency	Geographic_data_and_information_organizations	subcategory	transitive_h2	gpt-5.5-low	0.433	0.168	0.120	0.005	0.072	0.168	0.024	0.010	0.900	0.350	0.250	0.000	0.150	0.350	0.050	0.000	0.549	0.070
Vassal_rulers	Government	subcategory	transitive_h2	gpt-5.5-low	0.074	0.173	0.396	0.010	0.050	0.223	0.050	0.025	0.150	0.350	0.750	0.000	0.100	0.450	0.100	0.000	0.479	0.107
Hospitals_in_Guinea-Bissau	Healthcare_in_Guinea-Bissau	subcategory	transitive_h2	gpt-5.5-low	0.082	0.329	0.350	0.004	0.062	0.144	0.021	0.008	0.200	0.750	0.850	0.000	0.150	0.350	0.050	0.000	0.621	0.060
History_portal	History	subcategory	transitive_h2	gpt-5.5-low	0.380	0.054	0.136	0.005	0.190	0.136	0.082	0.016	0.650	0.100	0.250	0.000	0.350	0.250	0.150	0.000	0.399	0.102
Language_teachers	Humanities_education	subcategory	transitive_h2	gpt-5.5-low	0.123	0.221	0.294	0.005	0.049	0.196	0.074	0.039	0.250	0.400	0.550	0.000	0.100	0.400	0.150	0.000	0.375	0.086
Mathematics_occupations	Information	subcategory	transitive_h2	gpt-5.5-low	0.020	0.030	0.081	0.010	0.030	0.253	0.121	0.455	0.020	0.030	0.080	0.000	0.030	0.200	0.100	0.000	0.071	0.058
Parables_of_Jesus	Wisdom_literature	subcategory	transitive_h2	gpt-5.5-low	0.239	0.179	0.259	0.008	0.080	0.179	0.040	0.016	0.600	0.450	0.650	0.000	0.200	0.450	0.100	0.000	0.493	0.098
ISO_639	Language	subcategory	transitive_h2	gpt-5.5-low	0.103	0.051	0.385	0.005	0.128	0.231	0.077	0.021	0.200	0.100	0.700	0.000	0.250	0.450	0.150	0.000	0.442	0.138
Medical_jurisprudence	Law	subcategory	transitive_h2	gpt-5.5-low	0.024	0.330	0.377	0.009	0.071	0.142	0.038	0.009	0.050	0.750	0.850	0.000	0.150	0.350	0.050	0.000	0.632	0.083
Films_about_phoenixes	Phoenix_birds	subcategory	transitive_h2	gpt-5.5-low	0.014	0.169	0.362	0.010	0.121	0.242	0.058	0.024	0.020	0.350	0.750	0.000	0.250	0.550	0.080	0.000	0.499	0.178
Religious_software	Spiritual_media	subcategory	transitive_h2	gpt-5.5-low	0.015	0.253	0.303	0.010	0.101	0.202	0.076	0.040	0.030	0.550	0.650	0.000	0.250	0.450	0.120	0.000	0.462	0.135
Pharmacognosists	Natural_sciences	subcategory	transitive_h2	gpt-5.5-low	0.247	0.049	0.185	0.006	0.049	0.247	0.154	0.062	0.450	0.100	0.350	0.000	0.100	0.450	0.250	0.000	0.335	0.123
Faculties_of_philosophy_in_Brazil	Philosophy_organizations	subcategory	transitive_h2	gpt-5.5-low	0.290	0.193	0.193	0.010	0.072	0.145	0.072	0.024	0.650	0.450	0.450	0.000	0.200	0.350	0.150	0.000	0.438	0.079
Democratic_Party_presidential_debates	Leaders'_debates	subcategory	transitive_h2	gpt-5.5-low	0.106	0.298	0.319	0.009	0.085	0.128	0.043	0.013	0.250	0.750	0.800	0.000	0.250	0.350	0.080	0.000	0.575	0.086
Biblical_dreams_and_visions	Religion	subcategory	transitive_h2	gpt-5.5-low	0.025	0.196	0.417	0.010	0.098	0.196	0.049	0.010	0.050	0.450	0.900	0.000	0.250	0.450	0.080	0.000	0.581	0.130
Polar_exploration	Science	subcategory	transitive_h2	gpt-5.5-low	0.019	0.077	0.258	0.006	0.077	0.323	0.161	0.077	0.030	0.150	0.450	0.000	0.150	0.550	0.250	0.000	0.358	0.202
Town_and_country_planning_in_Turkey	Rural_society_in_Europe	subcategory	transitive_h2	gpt-5.5-low	0.017	0.060	0.129	0.009	0.052	0.259	0.172	0.302	0.020	0.080	0.180	0.000	0.080	0.350	0.180	0.000	0.154	0.104
Technology_evangelists	Technology	subcategory	transitive_h2	gpt-5.5-low	0.177	0.099	0.276	0.006	0.066	0.249	0.083	0.044	0.350	0.200	0.550	0.000	0.150	0.500	0.150	0.000	0.380	0.144
Time_signals	Time	subcategory	transitive_h2	gpt-5.5-low	0.024	0.217	0.362	0.010	0.121	0.217	0.039	0.010	0.050	0.450	0.750	0.000	0.250	0.450	0.050	0.000	0.501	0.134
Christian_Old_Earth_creationists	Creationism	subcategory	transitive_h2	gpt-5.5-low	0.023	0.434	0.388	0.005	0.046	0.091	0.014	0.000	0.050	0.950	0.850	0.000	0.100	0.200	0.020	0.000	0.766	0.027
Constitutional_history_of_Russia	Legal_history	subcategory	transitive_h2	gpt-5.5-low	0.009	0.338	0.383	0.009	0.068	0.158	0.032	0.005	0.020	0.750	0.850	0.000	0.150	0.350	0.050	0.000	0.646	0.074
Sexual_selection	Behavior	subcategory	transitive_h2	gpt-5.5-low	0.011	0.112	0.309	0.017	0.112	0.309	0.084	0.045	0.020	0.200	0.550	0.000	0.200	0.550	0.120	0.000	0.395	0.203
Spouses_of_Australian_politicians	Official_social_partners_of_politicians	subcategory	transitive_h2	gpt-5.5-low	0.027	0.428	0.241	0.011	0.080	0.160	0.043	0.011	0.050	0.800	0.450	0.000	0.150	0.300	0.050	0.000	0.514	0.071
Data_and_information_visualization_experts	Information	subcategory	transitive_h2	gpt-5.5-low	0.030	0.091	0.274	0.018	0.122	0.305	0.110	0.049	0.050	0.150	0.450	0.000	0.200	0.500	0.150	0.000	0.332	0.185
Difference	Concepts	subcategory	transitive_h2	gpt-5.5-low	0.359	0.215	0.167	0.010	0.072	0.144	0.029	0.005	0.750	0.450	0.350	0.000	0.150	0.300	0.050	0.000	0.480	0.060
British_Pakistani_mass_media	Ethnic_mass_media	subcategory	transitive_h2	gpt-5.5-low	0.022	0.391	0.326	0.004	0.087	0.152	0.017	0.000	0.050	0.900	0.750	0.000	0.200	0.350	0.030	0.000	0.669	0.075
Supply_chain_management	Supply_networks	subcategory	transitive_h2	gpt-5.5-low	0.009	0.111	0.289	0.053	0.156	0.289	0.080	0.013	0.020	0.250	0.650	0.050	0.350	0.650	0.150	0.000	0.473	0.316
Semester_at_sea_programs	Education	subcategory	transitive_h2	gpt-5.5-low	0.028	0.197	0.365	0.017	0.084	0.225	0.067	0.017	0.050	0.350	0.650	0.000	0.150	0.400	0.100	0.000	0.417	0.112
Wind_energy_cooperatives	Energy_cooperatives	subcategory	transitive_h2	gpt-5.5-low	0.025	0.480	0.379	0.000	0.025	0.076	0.010	0.005	0.050	0.950	0.750	0.000	0.050	0.150	0.000	0.000	0.754	0.013
Graphene	Nanomaterials	subcategory	transitive_h2	gpt-5.5-low	0.340	0.218	0.267	0.000	0.049	0.097	0.024	0.005	0.700	0.450	0.550	0.000	0.100	0.200	0.050	0.000	0.508	0.024
Singularitarianism	Philosophy_of_mind	subcategory	transitive_h2	gpt-5.5-low	0.013	0.100	0.233	0.000	0.067	0.367	0.167	0.053	0.020	0.150	0.350	0.000	0.100	0.550	0.250	0.000	0.347	0.217
Cake_decorating	Food_and_drink	subcategory	transitive_h2	gpt-5.5-low	0.014	0.139	0.521	0.000	0.035	0.243	0.035	0.014	0.020	0.200	0.750	0.000	0.050	0.350	0.050	0.000	0.507	0.087
Geocodes	Geography_terminology	subcategory	transitive_h2	gpt-5.5-low	0.158	0.158	0.380	0.000	0.063	0.158	0.063	0.019	0.250	0.250	0.600	0.000	0.100	0.250	0.100	0.000	0.359	0.046
Religion_in_the_Israel_Defense_Forces	Religion_and_government	subcategory	transitive_h2	gpt-5.5-low	0.013	0.064	0.414	0.000	0.096	0.287	0.096	0.032	0.020	0.100	0.650	0.000	0.150	0.450	0.150	0.000	0.433	0.145
Health_and_video_gaming	Health	subcategory	transitive_h2	gpt-5.5-low	0.015	0.075	0.639	0.000	0.038	0.188	0.038	0.008	0.020	0.100	0.850	0.000	0.050	0.250	0.050	0.000	0.602	0.049
Books_about_economic_crises	Works_about_economic_history	subcategory	transitive_h2	gpt-5.5-low	0.095	0.222	0.411	0.000	0.032	0.158	0.063	0.019	0.150	0.350	0.650	0.000	0.050	0.250	0.100	0.000	0.407	0.041
Museum_education	Humanities	subcategory	transitive_h2	gpt-5.5-low	0.008	0.041	0.207	0.000	0.041	0.372	0.207	0.124	0.010	0.050	0.250	0.000	0.050	0.450	0.250	0.000	0.275	0.180
Internet_privacy_organizations	Information_privacy	subcategory	transitive_h2	gpt-5.5-low	0.065	0.163	0.392	0.000	0.065	0.229	0.065	0.020	0.100	0.250	0.600	0.000	0.100	0.350	0.100	0.000	0.376	0.087
Liberal_arts_colleges_in_the_Philippines	Academic_disciplines	subcategory	transitive_h3	gpt-5.5-low	0.050	0.120	0.180	0.000	0.030	0.200	0.070	0.350	0.050	0.120	0.180	0.000	0.030	0.200	0.050	0.000	0.094	0.041
Mimicry	Behavior	subcategory	transitive_h3	gpt-5.5-low	0.127	0.279	0.381	0.000	0.051	0.127	0.025	0.010	0.250	0.550	0.750	0.000	0.100	0.250	0.050	0.000	0.509	0.037
Labor_relations_boards	Labour_law	subcategory	transitive_h3	gpt-5.5-low	0.086	0.201	0.431	0.000	0.046	0.172	0.046	0.017	0.150	0.350	0.750	0.000	0.080	0.300	0.080	0.000	0.466	0.055
Comparison_of_Germanic_languages_and_dialects	Information	subcategory	transitive_h3	gpt-5.5-low	0.021	0.032	0.106	0.021	0.021	0.191	0.128	0.479	0.020	0.030	0.100	0.000	0.020	0.180	0.080	0.000	0.057	0.037
String_metrics	Concepts	subcategory	transitive_h3	gpt-5.5-low	0.126	0.220	0.314	0.013	0.025	0.176	0.063	0.063	0.200	0.350	0.500	0.000	0.040	0.280	0.080	0.000	0.315	0.051
Christian_orders,_decorations,_and_medals	Culture	subcategory	transitive_h3	gpt-5.5-low	0.061	0.137	0.344	0.000	0.038	0.267	0.061	0.092	0.080	0.180	0.450	0.000	0.050	0.350	0.050	0.000	0.283	0.095
Vacuum_cleaners	Consumer_goods	subcategory	transitive_h3	gpt-5.5-low	0.300	0.369	0.161	0.000	0.037	0.115	0.014	0.005	0.650	0.800	0.350	0.000	0.080	0.250	0.030	0.000	0.578	0.032
Western_University_of_Health_Sciences	Learning_methods	subcategory	transitive_h3	gpt-5.5-low	0.011	0.011	0.043	0.000	0.011	0.130	0.087	0.707	0.010	0.010	0.040	0.000	0.010	0.120	0.050	0.000	0.022	0.016
King_Fahd_University_of_Petroleum_and_Minerals_alumni	Energy_education	subcategory	transitive_h3	gpt-5.5-low	0.068	0.103	0.188	0.000	0.034	0.239	0.068	0.299	0.080	0.120	0.220	0.000	0.040	0.280	0.050	0.000	0.131	0.068
Lime_kilns	Engineering	subcategory	transitive_h3	gpt-5.5-low	0.082	0.170	0.374	0.000	0.034	0.238	0.048	0.054	0.120	0.250	0.550	0.000	0.050	0.350	0.050	0.000	0.346	0.085
Mental_disorders	Entities	subcategory	transitive_h3	gpt-5.5-low	0.020	0.050	0.080	0.000	0.020	0.120	0.160	0.550	0.020	0.050	0.080	0.000	0.020	0.120	0.050	0.000	0.032	0.018
Military_food_of_Canada	Food_and_drink	subcategory	transitive_h3	gpt-5.5-low	0.024	0.396	0.362	0.000	0.039	0.135	0.029	0.014	0.050	0.820	0.750	0.000	0.080	0.280	0.040	0.000	0.640	0.041
Titles_in_Bosnia	Geographical_regions	subcategory	transitive_h3	gpt-5.5-low	0.000	0.020	0.040	0.000	0.010	0.079	0.178	0.673	0.000	0.020	0.040	0.000	0.010	0.080	0.080	0.000	0.023	0.010
Motorcycle_standards	Government	subcategory	transitive_h3	gpt-5.5-low	0.008	0.066	0.347	0.000	0.033	0.264	0.099	0.182	0.010	0.080	0.420	0.000	0.040	0.320	0.080	0.000	0.245	0.089
Exercise_television_shows	Health	subcategory	transitive_h3	gpt-5.5-low	0.014	0.130	0.399	0.000	0.036	0.275	0.058	0.087	0.020	0.180	0.550	0.000	0.050	0.380	0.060	0.000	0.353	0.108
Marathi-language_biographical_films	Indian_history_in_popular_culture	subcategory	transitive_h3	gpt-5.5-low	0.023	0.311	0.350	0.000	0.045	0.169	0.056	0.045	0.040	0.550	0.620	0.000	0.080	0.300	0.080	0.000	0.448	0.056
Casual_script_typefaces	Humanities	subcategory	transitive_h3	gpt-5.5-low	0.008	0.148	0.295	0.000	0.025	0.180	0.115	0.230	0.010	0.180	0.360	0.000	0.030	0.220	0.080	0.000	0.182	0.043
Telephone_directory_publishing_companies	Information	subcategory	transitive_h3	gpt-5.5-low	0.015	0.206	0.279	0.000	0.029	0.250	0.088	0.132	0.020	0.280	0.380	0.000	0.040	0.340	0.080	0.000	0.257	0.088
Consulting	Knowledge	subcategory	transitive_h3	gpt-5.5-low	0.008	0.066	0.180	0.000	0.033	0.344	0.164	0.205	0.010	0.080	0.220	0.000	0.040	0.420	0.180	0.000	0.220	0.152
Legal_professional_privilege	Law	subcategory	transitive_h3	gpt-5.5-low	0.017	0.217	0.491	0.000	0.057	0.183	0.023	0.011	0.030	0.380	0.860	0.000	0.100	0.320	0.030	0.000	0.571	0.064
Lithophiles	Speculative_evolution	subcategory	transitive_h3	gpt-5.5-low	0.039	0.063	0.195	0.000	0.078	0.273	0.078	0.273	0.050	0.080	0.250	0.000	0.100	0.350	0.050	0.000	0.163	0.107
Audiovisual_ephemera	Stock_media	subcategory	transitive_h3	gpt-5.5-low	0.051	0.333	0.282	0.000	0.103	0.179	0.026	0.026	0.100	0.650	0.550	0.000	0.200	0.350	0.050	0.000	0.462	0.085
